CREATIVE_ID,CAMPAIGN_ID,HERO_TITLE_ID,FORMAT,VARIANT,CREATIVE_CODE
1,101,,CAROUSEL,FEATURE_CUT,CR-101-CAROUSEL-FEATURE_CUT
2,101,,CAROUSEL,HERO_A,CR-101-CAROUSEL-HERO_A
3,101,,CAROUSEL,HERO_B,CR-101-CAROUSEL-HERO_B
4,101,,CAROUSEL,SOCIAL_CUT,CR-101-CAROUSEL-SOCIAL_CUT
5,101,,STATIC,FEATURE_CUT,CR-101-STATIC-FEATURE_CUT
6,101,,STATIC,HERO_A,CR-101-STATIC-HERO_A
7,101,,STATIC,HERO_B,CR-101-STATIC-HERO_B
8,101,,STATIC,SOCIAL_CUT,CR-101-STATIC-SOCIAL_CUT
9,101,,VIDEO_06S,FEATURE_CUT,CR-101-VIDEO_06S-FEATURE_CUT
10,101,,VIDEO_06S,HERO_A,CR-101-VIDEO_06S-HERO_A
11,101,,VIDEO_06S,HERO_B,CR-101-VIDEO_06S-HERO_B
12,101,,VIDEO_06S,SOCIAL_CUT,CR-101-VIDEO_06S-SOCIAL_CUT
13,101,,VIDEO_15S,FEATURE_CUT,CR-101-VIDEO_15S-FEATURE_CUT
14,101,,VIDEO_15S,HERO_A,CR-101-VIDEO_15S-HERO_A
15,101,,VIDEO_15S,HERO_B,CR-101-VIDEO_15S-HERO_B
16,101,,VIDEO_15S,SOCIAL_CUT,CR-101-VIDEO_15S-SOCIAL_CUT
17,101,,VIDEO_30S,FEATURE_CUT,CR-101-VIDEO_30S-FEATURE_CUT
18,101,,VIDEO_30S,HERO_A,CR-101-VIDEO_30S-HERO_A
19,101,,VIDEO_30S,HERO_B,CR-101-VIDEO_30S-HERO_B
20,101,,VIDEO_30S,SOCIAL_CUT,CR-101-VIDEO_30S-SOCIAL_CUT
21,102,,CAROUSEL,FEATURE_CUT,CR-102-CAROUSEL-FEATURE_CUT
22,102,,CAROUSEL,HERO_A,CR-102-CAROUSEL-HERO_A
23,102,,CAROUSEL,HERO_B,CR-102-CAROUSEL-HERO_B
24,102,,CAROUSEL,SOCIAL_CUT,CR-102-CAROUSEL-SOCIAL_CUT
25,102,,STATIC,FEATURE_CUT,CR-102-STATIC-FEATURE_CUT
26,102,,STATIC,HERO_A,CR-102-STATIC-HERO_A
27,102,,STATIC,HERO_B,CR-102-STATIC-HERO_B
28,102,,STATIC,SOCIAL_CUT,CR-102-STATIC-SOCIAL_CUT
29,102,,VIDEO_06S,FEATURE_CUT,CR-102-VIDEO_06S-FEATURE_CUT
30,102,,VIDEO_06S,HERO_A,CR-102-VIDEO_06S-HERO_A
31,102,,VIDEO_06S,HERO_B,CR-102-VIDEO_06S-HERO_B
32,102,,VIDEO_06S,SOCIAL_CUT,CR-102-VIDEO_06S-SOCIAL_CUT
33,102,,VIDEO_15S,FEATURE_CUT,CR-102-VIDEO_15S-FEATURE_CUT
34,102,,VIDEO_15S,HERO_A,CR-102-VIDEO_15S-HERO_A
35,102,,VIDEO_15S,HERO_B,CR-102-VIDEO_15S-HERO_B
36,102,,VIDEO_15S,SOCIAL_CUT,CR-102-VIDEO_15S-SOCIAL_CUT
