INFLUENCER_ID,HANDLE,PLATFORM,TIER,FOLLOWER_COUNT,PRIMARY_VERTICAL,REGION
1,Dr_Disrespect,Twitch,MEGA,4200000,Shooter,NA
2,IShowSpeed,YouTube,MEGA,28000000,Variety,NA
3,Kai Cenat,Twitch,MEGA,9500000,Variety,NA
4,Valkyrae,YouTube,MEGA,4100000,Variety,NA
5,Pokimane,Twitch,MACRO,890000,Variety,NA
6,Ludwig,YouTube,MACRO,5300000,Variety,NA
7,Jacksepticeye,YouTube,MEGA,31000000,Single-player,EMEA
8,Markiplier,YouTube,MEGA,37000000,Single-player,NA
9,PewDiePie,YouTube,MEGA,111000000,Variety,EMEA
10,CoryxKenshin,YouTube,MEGA,20000000,Horror,NA
11,Shroud,Twitch,MACRO,10500000,Shooter,NA
12,xQc,Twitch,MEGA,11800000,Variety,NA
13,Masayoshi,YouTube,MICRO,280000,JRPG,APAC
14,TheRadBrad,YouTube,MACRO,13500000,Single-player,NA
15,Tanqr,YouTube,MACRO,8200000,Sports,NA
16,ElRubiusOMG,YouTube,MEGA,40000000,Variety,LATAM
17,Fernanfloo,YouTube,MEGA,48000000,Variety,LATAM
18,Asmongold,Twitch,MEGA,4700000,MMO,NA
19,Ninja,Twitch,MEGA,18500000,Shooter,NA
20,BruceGreene,YouTube,MICRO,450000,Variety,NA
