POST_ID,POST_DATE,CHANNEL_ID,CAMPAIGN_ID,TITLE_ID,POST_TYPE,POST_CAPTION_TEMPLATE,HASHTAGS,THUMBNAIL_URL,POST_TIMESTAMP
1,2025-11-01,12,105,1,YT_TRAILER,[TITLE] - Official Launch Trailer | PS5,#PlayStation,https://cdn.playstation.com/thumb/84a02ac70b7a.jpg,2025-11-01 18:00:00-07:00
2,2025-11-01,18,105,1,YT_SHORT,Behind the scenes: making [TITLE] #PlayStation #Shorts,#PlayStation #Shorts #Gaming,https://cdn.playstation.com/thumb/1bb2f579c3ba.jpg,2025-11-01 13:00:00-07:00
3,2025-11-01,18,104,2,YT_LONG,[TITLE] - Deep Dive with the Dev Team,#PlayStation,https://cdn.playstation.com/thumb/d6923d3b6836.jpg,2025-11-01 14:00:00-07:00
4,2025-11-01,18,109,8,BLOG_POST,[TITLE]: Everything you need to know,#PlayStation,https://cdn.playstation.com/thumb/973aa67bf124.jpg,2025-11-01 18:00:00-07:00
5,2025-11-01,18,105,1,BLOG_POST,[TITLE]: Everything you need to know,#PlayStation,https://cdn.playstation.com/thumb/973aa67bf124.jpg,2025-11-01 18:00:00-07:00
6,2025-11-01,19,101,,TT_VIDEO,when the [TITLE] cutscene hits different,#PlayStation #fyp #gaming,https://cdn.playstation.com/thumb/476dada0a1b0.jpg,2025-11-01 18:00:00-07:00
7,2025-11-01,19,109,8,IG_STORY,Out now on PS5 🔥,#PlayStation,https://cdn.playstation.com/thumb/ee3e92578546.jpg,2025-11-01 13:00:00-07:00
8,2025-11-01,20,109,8,BLOG_DEV_DIARY,Dev diary #7 - crafting [TITLE],#PlayStation,https://cdn.playstation.com/thumb/ca0558bdf1f9.jpg,2025-11-01 11:00:00-07:00
9,2025-11-02,20,105,1,BLOG_POST,[TITLE]: Everything you need to know,#PlayStation,https://cdn.playstation.com/thumb/2889b7f74ab0.jpg,2025-11-02 16:00:00-08:00
10,2025-11-02,20,109,8,BLOG_POST,[TITLE]: Everything you need to know,#PlayStation,https://cdn.playstation.com/thumb/2889b7f74ab0.jpg,2025-11-02 16:00:00-08:00
11,2025-11-02,20,105,1,YT_TRAILER,[TITLE] - Official Launch Trailer | PS5,#PlayStation,https://cdn.playstation.com/thumb/15d7c7958e76.jpg,2025-11-02 17:00:00-08:00
12,2025-11-03,12,109,8,BLOG_DEV_DIARY,Dev diary #7 - crafting [TITLE],#PlayStation,https://cdn.playstation.com/thumb/0d2fdbd56c5a.jpg,2025-11-03 16:00:00-08:00
13,2025-11-03,12,105,1,BLOG_DEV_DIARY,Dev diary #7 - crafting [TITLE],#PlayStation,https://cdn.playstation.com/thumb/0d2fdbd56c5a.jpg,2025-11-03 16:00:00-08:00
14,2025-11-03,12,107,,TT_TRENDING,gamers tell us their favorite PS5 moment,#PS5 #fyp #gamertok,https://cdn.playstation.com/thumb/16a3b169bbbd.jpg,2025-11-03 09:00:00-08:00
15,2025-11-03,12,107,,IG_POST,Drop a 🎮 if you're playing [TITLE] this weekend,#PlayStation,https://cdn.playstation.com/thumb/0c14ca1878af.jpg,2025-11-03 14:00:00-08:00
16,2025-11-03,12,108,,TT_VIDEO,when the [TITLE] cutscene hits different,#PlayStation #fyp #gaming,https://cdn.playstation.com/thumb/8f02255ea101.jpg,2025-11-03 15:00:00-08:00
17,2025-11-03,18,108,,BLOG_POST,[TITLE]: Everything you need to know,#PlayStation,https://cdn.playstation.com/thumb/2e8cc7799e54.jpg,2025-11-03 20:00:00-08:00
18,2025-11-03,19,104,2,YT_TRAILER,[TITLE] - Official Launch Trailer | PS5,#PlayStation,https://cdn.playstation.com/thumb/b89431644fef.jpg,2025-11-03 20:00:00-08:00
19,2025-11-04,12,108,,IG_STORY,Out now on PS5 🔥,#PlayStation,https://cdn.playstation.com/thumb/5c4a71d4b5f4.jpg,2025-11-04 18:00:00-08:00
20,2025-11-04,12,109,8,YT_TRAILER,[TITLE] - Official Launch Trailer | PS5,#PlayStation,https://cdn.playstation.com/thumb/d396c5b73b00.jpg,2025-11-04 20:00:00-08:00
21,2025-11-04,18,101,,TT_TRENDING,gamers tell us their favorite PS5 moment,#PS5 #fyp #gamertok,https://cdn.playstation.com/thumb/272cf89f1f7e.jpg,2025-11-04 10:00:00-08:00
22,2025-11-04,18,104,2,BLOG_DEV_DIARY,Dev diary #7 - crafting [TITLE],#PlayStation,https://cdn.playstation.com/thumb/200a4653074e.jpg,2025-11-04 11:00:00-08:00
23,2025-11-04,18,101,,IG_STORY,Out now on PS5 🔥,#PlayStation,https://cdn.playstation.com/thumb/5c4a71d4b5f4.jpg,2025-11-04 18:00:00-08:00
24,2025-11-04,18,109,8,YT_LONG,[TITLE] - Deep Dive with the Dev Team,#PlayStation,https://cdn.playstation.com/thumb/808479137a63.jpg,2025-11-04 13:00:00-08:00
