DATE_DAY,EVENT_TYPE,ACTIVE_USERS
2025-11-01,REMOTE_DL,349272
2025-11-01,FRIENDS_ACTIVITY,2872260
2025-11-01,TROPHY_VIEW,1311255
2025-11-01,STORE_CLICK,684666
2025-11-01,OPEN,5248800
2025-11-02,REMOTE_DL,451332
2025-11-02,FRIENDS_ACTIVITY,2568510
2025-11-02,TROPHY_VIEW,1489455
2025-11-02,STORE_CLICK,794313
2025-11-02,OPEN,5297400
2025-11-03,REMOTE_DL,326200
2025-11-03,FRIENDS_ACTIVITY,1764000
2025-11-03,TROPHY_VIEW,889900
2025-11-03,STORE_CLICK,500340
2025-11-03,OPEN,3681000
2025-11-04,REMOTE_DL,269360
2025-11-04,FRIENDS_ACTIVITY,1531800
2025-11-04,TROPHY_VIEW,1106600
2025-11-04,STORE_CLICK,707420
2025-11-04,OPEN,3910500
2025-11-05,REMOTE_DL,225680
2025-11-05,FRIENDS_ACTIVITY,1443600
2025-11-05,TROPHY_VIEW,1021900
2025-11-05,STORE_CLICK,556760
2025-11-05,OPEN,5368500
2025-11-06,REMOTE_DL,243600
2025-11-06,FRIENDS_ACTIVITY,2039400
2025-11-06,TROPHY_VIEW,1291400
2025-11-06,STORE_CLICK,564820
2025-11-06,OPEN,3663000
2025-11-07,REMOTE_DL,290920
2025-11-07,FRIENDS_ACTIVITY,1461600
2025-11-07,TROPHY_VIEW,1114300
2025-11-07,STORE_CLICK,636120
2025-11-07,OPEN,4612500
2025-11-08,REMOTE_DL,384426
2025-11-08,FRIENDS_ACTIVITY,1982880
2025-11-08,TROPHY_VIEW,1299375
2025-11-08,STORE_CLICK,750789
2025-11-08,OPEN,5084775
2025-11-09,REMOTE_DL,408996
2025-11-09,FRIENDS_ACTIVITY,2738610
2025-11-09,TROPHY_VIEW,1520640
2025-11-09,STORE_CLICK,729027
2025-11-09,OPEN,6421275
2025-11-10,REMOTE_DL,329840
2025-11-10,FRIENDS_ACTIVITY,1654200
2025-11-10,TROPHY_VIEW,986700
2025-11-10,STORE_CLICK,740900
2025-11-10,OPEN,4594500
2025-11-11,REMOTE_DL,282240
2025-11-11,FRIENDS_ACTIVITY,1499400
2025-11-11,TROPHY_VIEW,1236400
2025-11-11,STORE_CLICK,670840
2025-11-11,OPEN,4131000
2025-11-12,REMOTE_DL,294840
2025-11-12,FRIENDS_ACTIVITY,1540800
2025-11-12,TROPHY_VIEW,1189100
2025-11-12,STORE_CLICK,576600
2025-11-12,OPEN,4792500
2025-11-13,REMOTE_DL,299880
2025-11-13,FRIENDS_ACTIVITY,2041200
2025-11-13,TROPHY_VIEW,1252900
2025-11-13,STORE_CLICK,692540
2025-11-13,OPEN,4428000
2025-11-14,REMOTE_DL,289240
2025-11-14,FRIENDS_ACTIVITY,1542600
2025-11-14,TROPHY_VIEW,1072500
2025-11-14,STORE_CLICK,741520
2025-11-14,OPEN,3609000
2025-11-15,REMOTE_DL,355698
2025-11-15,FRIENDS_ACTIVITY,2174850
2025-11-15,TROPHY_VIEW,1709235
2025-11-15,STORE_CLICK,828630
2025-11-15,OPEN,5011875
2025-11-16,REMOTE_DL,333774
2025-11-16,FRIENDS_ACTIVITY,2809080
2025-11-16,TROPHY_VIEW,1513215
2025-11-16,STORE_CLICK,912330
2025-11-16,OPEN,5552550
2025-11-17,REMOTE_DL,307440
2025-11-17,FRIENDS_ACTIVITY,1981800
2025-11-17,TROPHY_VIEW,1120900
2025-11-17,STORE_CLICK,607600
2025-11-17,OPEN,4099500
2025-11-18,REMOTE_DL,291760
2025-11-18,FRIENDS_ACTIVITY,1456200
2025-11-18,TROPHY_VIEW,1101100
2025-11-18,STORE_CLICK,575980
2025-11-18,OPEN,4117500
2025-11-19,REMOTE_DL,255360
2025-11-19,FRIENDS_ACTIVITY,1794600
2025-11-19,TROPHY_VIEW,1212200
2025-11-19,STORE_CLICK,578460
2025-11-19,OPEN,4351500
2025-11-20,REMOTE_DL,232120
2025-11-20,FRIENDS_ACTIVITY,1557000
2025-11-20,TROPHY_VIEW,1076900
2025-11-20,STORE_CLICK,574740
2025-11-20,OPEN,4581000
2025-11-21,REMOTE_DL,232400
2025-11-21,FRIENDS_ACTIVITY,1951200
2025-11-21,TROPHY_VIEW,1148400
2025-11-21,STORE_CLICK,699980
2025-11-21,OPEN,4563000
2025-11-22,REMOTE_DL,328104
2025-11-22,FRIENDS_ACTIVITY,2855250
2025-11-22,TROPHY_VIEW,1225125
2025-11-22,STORE_CLICK,955017
2025-11-22,OPEN,6135750
2025-11-23,REMOTE_DL,381024
2025-11-23,FRIENDS_ACTIVITY,2736180
2025-11-23,TROPHY_VIEW,1419660
2025-11-23,STORE_CLICK,832815
2025-11-23,OPEN,6384825
2025-11-24,REMOTE_DL,270760
2025-11-24,FRIENDS_ACTIVITY,1575000
2025-11-24,TROPHY_VIEW,1294700
2025-11-24,STORE_CLICK,719200
2025-11-24,OPEN,4500000
2025-11-25,REMOTE_DL,290360
2025-11-25,FRIENDS_ACTIVITY,1782000
2025-11-25,TROPHY_VIEW,1312300
2025-11-25,STORE_CLICK,579080
2025-11-25,OPEN,5220000
2025-11-26,REMOTE_DL,259000
2025-11-26,FRIENDS_ACTIVITY,1571400
2025-11-26,TROPHY_VIEW,1084600
2025-11-26,STORE_CLICK,530100
2025-11-26,OPEN,4986000
2025-11-27,REMOTE_DL,243600
2025-11-27,FRIENDS_ACTIVITY,2145600
2025-11-27,TROPHY_VIEW,939400
2025-11-27,STORE_CLICK,611320
2025-11-27,OPEN,5044500
2025-11-28,REMOTE_DL,277760
2025-11-28,FRIENDS_ACTIVITY,2005200
2025-11-28,TROPHY_VIEW,1090100
2025-11-28,STORE_CLICK,672080
2025-11-28,OPEN,3735000
2025-11-29,REMOTE_DL,427518
2025-11-29,FRIENDS_ACTIVITY,2549070
2025-11-29,TROPHY_VIEW,1293435
2025-11-29,STORE_CLICK,951669
2025-11-29,OPEN,6354450
2025-11-30,REMOTE_DL,435078
2025-11-30,FRIENDS_ACTIVITY,2641410
2025-11-30,TROPHY_VIEW,1277100
2025-11-30,STORE_CLICK,693873
2025-11-30,OPEN,5169825
2025-12-01,REMOTE_DL,225120
2025-12-01,FRIENDS_ACTIVITY,1656000
2025-12-01,TROPHY_VIEW,971300
2025-12-01,STORE_CLICK,597060
2025-12-01,OPEN,4639500
2025-12-02,REMOTE_DL,319480
2025-12-02,FRIENDS_ACTIVITY,1877400
2025-12-02,TROPHY_VIEW,1157200
2025-12-02,STORE_CLICK,655960
2025-12-02,OPEN,3811500
2025-12-03,REMOTE_DL,293160
2025-12-03,FRIENDS_ACTIVITY,1580400
2025-12-03,TROPHY_VIEW,1161600
2025-12-03,STORE_CLICK,550560
2025-12-03,OPEN,4923000
2025-12-04,REMOTE_DL,309680
2025-12-04,FRIENDS_ACTIVITY,2021400
2025-12-04,TROPHY_VIEW,902000
2025-12-04,STORE_CLICK,605120
2025-12-04,OPEN,5044500
2025-12-05,REMOTE_DL,284200
2025-12-05,FRIENDS_ACTIVITY,2061000
2025-12-05,TROPHY_VIEW,917400
2025-12-05,STORE_CLICK,627440
2025-12-05,OPEN,4954500
2025-12-06,REMOTE_DL,377622
2025-12-06,FRIENDS_ACTIVITY,2874690
2025-12-06,TROPHY_VIEW,1370655
2025-12-06,STORE_CLICK,987660
2025-12-06,OPEN,7089525
2025-12-07,REMOTE_DL,340956
2025-12-07,FRIENDS_ACTIVITY,2352240
2025-12-07,TROPHY_VIEW,1712205
2025-12-07,STORE_CLICK,695547
2025-12-07,OPEN,5333850
2025-12-08,REMOTE_DL,287000
2025-12-08,FRIENDS_ACTIVITY,1612800
2025-12-08,TROPHY_VIEW,936100
2025-12-08,STORE_CLICK,557380
2025-12-08,OPEN,3915000
2025-12-09,REMOTE_DL,256760
2025-12-09,FRIENDS_ACTIVITY,1994400
2025-12-09,TROPHY_VIEW,1128600
2025-12-09,STORE_CLICK,598920
2025-12-09,OPEN,4513500
