DATE_DAY,CAMPAIGN_ID,SEGMENT_ID,SENT,DELIVERED,OPENS,CLICKS,UNSUBSCRIBES
2025-11-01,101,7,347760,285440,110788,11592,364
2025-11-01,101,3,402780,385325,110695,13587,454
2025-11-01,101,11,542220,450467,108755,8442,316
2025-11-01,108,8,283080,507318,110695,8946,329
2025-11-01,108,4,381780,246750,98776,10794,455
2025-11-01,108,12,367500,324131,91014,6941,724
2025-11-02,107,1,326760,267280,108478,11991,667
2025-11-02,107,9,522480,287020,69947,6542,538
2025-11-02,107,5,508200,470602,73181,7644,536
2025-11-04,105,7,399420,340318,94525,7004,389
2025-11-04,105,3,412440,468628,91014,12054,360
2025-11-04,105,11,253260,486394,66805,7602,702
2025-11-05,104,8,433440,373086,76507,12516,423
2025-11-05,104,4,385140,481656,74012,9723,389
2025-11-05,104,12,388920,470207,60152,12590,562
2025-11-07,109,7,312060,315445,60892,8999,461
2025-11-07,109,3,336840,508897,72349,9167,617
2025-11-07,109,11,412020,513240,76692,10164,551
2025-11-08,101,7,405720,369533,102102,6605,390
2025-11-08,101,3,427140,395984,78632,6773,687
2025-11-08,101,11,532980,364006,102194,7056,753
2025-11-08,108,8,301560,253462,80111,7802,500
2025-11-08,108,4,472920,431122,85562,11739,706
2025-11-08,108,12,516180,365585,94710,8274,357
2025-11-09,107,1,365820,249119,63386,11592,319
2025-11-09,107,9,307440,283072,86486,6920,440
2025-11-09,107,5,252000,367954,70871,13503,390
2025-11-11,105,7,372960,299258,93601,9744,756
2025-11-11,105,3,483000,321762,88057,11529,379
2025-11-11,105,11,401100,499422,86117,11288,665
2025-11-12,104,8,368760,407039,79279,10196,621
2025-11-12,104,4,315420,414540,103026,8579,734
2025-11-12,104,12,542220,482051,94710,7802,562
2025-11-13,103,1,480480,414145,75029,9765,661
2025-11-13,103,9,508620,414540,79834,8883,380
2025-11-13,103,5,540120,456784,71240,10626,304
2025-11-14,109,7,262080,349793,98314,9345,441
2025-11-14,109,3,496020,257410,110048,9408,610
2025-11-14,109,11,266700,407434,107461,8369,307
2025-11-15,101,7,466200,335975,75768,11120,754
2025-11-15,101,3,488460,284256,85008,13020,485
2025-11-15,101,11,277200,452046,55440,10049,692
2025-11-15,108,8,466200,442571,72442,8232,436
2025-11-15,108,4,374220,253067,107923,9482,569
2025-11-15,108,12,364140,413356,72719,6605,432
2025-11-16,107,1,482160,249908,84084,11792,494
2025-11-16,107,9,429660,489552,102934,12894,352
2025-11-16,107,5,522480,500212,59968,8705,625
2025-11-18,105,7,459060,286625,75491,13556,658
2025-11-18,105,3,352800,375060,107276,8778,744
2025-11-18,105,11,414540,430332,91291,13545,739
2025-11-19,104,8,456120,276360,71425,7455,656
2025-11-19,104,4,474600,312682,83160,8600,513
2025-11-19,104,12,301980,480472,58120,10731,611
2025-11-20,103,1,405720,283861,109864,11813,308
2025-11-20,103,9,406560,456389,70039,8957,497
2025-11-20,103,5,306180,239249,104966,10091,442
2025-11-21,102,6,267960,412961,65696,8652,562
2025-11-21,102,2,355320,482840,61538,6720,693
2025-11-21,102,10,424620,335580,56087,11214,705
2025-11-21,109,7,483840,502186,99422,11760,657
2025-11-21,109,3,411180,241618,89258,11781,481
2025-11-21,109,11,467880,382166,56456,8358,423
2025-11-22,101,7,514920,481261,66436,12044,703
2025-11-22,101,3,367920,403880,88150,13262,386
2025-11-22,101,11,363300,357689,59690,12012,464
2025-11-22,108,8,434280,466259,62278,9639,459
2025-11-22,108,4,330540,386509,107831,11172,525
2025-11-22,108,12,387240,285835,88057,7949,313
2025-11-23,107,1,456960,334396,95542,8421,567
2025-11-23,107,9,430920,408223,64126,7308,561
2025-11-23,107,5,341040,257410,89536,7928,476
2025-11-25,105,7,407820,341502,79834,12642,448
2025-11-25,105,3,408240,422831,57935,7067,656
2025-11-25,105,11,299880,373876,70963,8201,573
2025-11-26,104,8,487200,269648,93509,7602,383
2025-11-26,104,4,303660,465864,86856,11193,730
2025-11-26,104,12,527100,330448,63756,12810,550
2025-11-27,103,1,295680,393221,76600,8516,634
2025-11-27,103,9,536760,486788,56641,8505,541
2025-11-27,103,5,289800,297679,79002,10364,727
2025-11-28,102,6,463680,465074,76045,13587,500
2025-11-28,102,2,433020,384140,68838,7749,373
2025-11-28,102,10,454860,373876,100808,9503,319
2025-11-28,109,7,378840,263726,92770,6720,479
2025-11-28,109,3,544740,476918,69115,11393,587
2025-11-28,109,11,351120,446124,69670,9051,742
2025-11-29,101,7,303660,293731,106814,10595,671
2025-11-29,101,3,417480,429937,62093,6804,486
2025-11-29,101,11,342300,368348,83160,9324,492
