PARTNERSHIP_ID,CAMPAIGN_ID,INFLUENCER_ID,DELIVERY_DATE,DELIVERABLE,FEE_USD,IMPRESSIONS,VIDEO_VIEWS,ENGAGEMENTS,ATTRIBUTED_SIGNUPS
30,109,7,2025-11-18,DEDICATED_VIDEO,372000.00,3813000,4588000,176700,4780
31,109,9,2026-02-10,SHORT_FORM,1332000.00,39627000,24531000,754800,19847
32,109,10,2025-11-13,SPONSORED_STREAM,240000.00,4920000,5000000,84000,3676
33,109,11,2025-12-08,DEDICATED_VIDEO,84000.00,1270500,1648500,47250,1535
34,109,19,2025-12-25,DEDICATED_VIDEO,222000.00,3626000,2608500,123950,3822
35,109,20,2026-01-22,INTEGRATION,2250.00,68400,55350,3195,59
36,110,1,2026-02-28,DEDICATED_VIDEO,50400.00,617400,554400,27720,687
44,112,16,2026-03-17,SPONSORED_STREAM,480000.00,8880000,4120000,224000,7216
45,112,20,2026-03-27,INTEGRATION,2250.00,71550,39150,1935,55
46,113,1,2026-01-15,INTEGRATION,50400.00,508200,1138200,20580,715
47,113,3,2025-12-18,SPONSORED_STREAM,114000.00,1529500,2375000,70300,1362
48,113,7,2026-01-06,SPONSORED_STREAM,372000.00,7719000,6386000,232500,4886
49,113,11,2025-12-08,SPONSORED_STREAM,84000.00,3234000,2856000,82950,1682
50,113,12,2025-12-28,INTEGRATION,141600.00,1781800,2678600,55460,1551
23,107,9,2025-11-10,DEDICATED_VIDEO,1332000.00,31746000,30525000,621600,22222
24,107,18,2026-01-13,DEDICATED_VIDEO,56400.00,1273700,455900,36190,1023
25,108,4,2026-02-19,INTEGRATION,49200.00,1266900,918400,22550,791
26,108,6,2026-02-13,SPONSORED_STREAM,42400.00,1923900,1028200,39750,760
27,108,12,2025-11-20,SHORT_FORM,141600.00,4212600,2265600,73160,2235
28,108,16,2026-02-19,INTEGRATION,480000.00,13920000,6640000,220000,5128
29,109,3,2026-01-22,SPONSORED_STREAM,114000.00,1463000,2517500,45600,1697
37,110,4,2026-02-21,DEDICATED_VIDEO,49200.00,779000,701100,17220,436
38,110,11,2026-03-20,SPONSORED_STREAM,84000.00,3087000,1921500,46200,1882
39,110,17,2026-01-10,DEDICATED_VIDEO,576000.00,9504000,12048000,350400,9437
40,111,16,2026-02-13,SPONSORED_STREAM,480000.00,9000000,8840000,236000,4864
41,112,2,2026-04-11,DEDICATED_VIDEO,336000.00,6524000,2604000,151200,6126
42,112,8,2026-03-18,DEDICATED_VIDEO,444000.00,4625000,9731000,151700,7289
43,112,10,2026-04-20,INTEGRATION,240000.00,5260000,2340000,98000,3460
1,101,11,2025-11-03,INTEGRATION,84000.00,2383500,1606500,50400,1802
2,101,16,2025-11-05,SPONSORED_STREAM,480000.00,6280000,4800000,276000,4464
3,102,2,2025-12-11,INTEGRATION,336000.00,6580000,6944000,162400,5359
4,102,5,2025-11-18,SHORT_FORM,7120.00,303490,221610,7120,123
5,102,14,2025-11-21,INTEGRATION,108000.00,3726000,3024000,95850,2406
6,102,17,2025-11-18,SHORT_FORM,576000.00,17616000,7296000,321600,7747
7,103,5,2026-01-03,SPONSORED_STREAM,7120.00,108580,247420,6408,119
8,103,14,2026-01-23,SPONSORED_STREAM,108000.00,4657500,2970000,55350,2776
9,103,18,2025-12-08,SPONSORED_STREAM,56400.00,827200,1118600,19740,996
10,103,19,2025-12-03,DEDICATED_VIDEO,222000.00,4125500,1517000,81400,2157
11,104,13,2025-12-24,DEDICATED_VIDEO,1400.00,44240,51800,2016,32
12,105,6,2025-11-14,SPONSORED_STREAM,42400.00,1759600,1340900,40280,541
13,105,7,2026-01-27,DEDICATED_VIDEO,372000.00,11160000,7502000,189100,4458
14,105,13,2025-12-07,INTEGRATION,1400.00,55440,75320,2212,49
15,105,15,2026-01-26,SHORT_FORM,65600.00,984000,844600,48380,1527
16,106,1,2026-01-22,SPONSORED_STREAM,50400.00,1440600,357000,33180,900
17,106,2,2026-04-27,SPONSORED_STREAM,336000.00,8988000,7028000,126000,5566
18,106,3,2026-04-22,INTEGRATION,114000.00,2717000,2156500,45600,1566
19,106,7,2026-01-17,INTEGRATION,372000.00,10602000,2480000,238700,6113
20,106,12,2026-04-06,DEDICATED_VIDEO,141600.00,3492800,2265600,76700,1812
21,106,16,2026-04-26,SHORT_FORM,480000.00,5560000,7920000,160000,6016
22,107,1,2025-11-21,SPONSORED_STREAM,50400.00,995400,1075200,23520,507
51,114,1,2026-01-14,INTEGRATION,50400.00,1381800,554400,28980,643
52,114,3,2026-02-02,SHORT_FORM,114000.00,1491500,2365500,66500,1161
53,114,4,2026-02-11,DEDICATED_VIDEO,49200.00,1496500,721600,18860,437
54,114,7,2026-02-17,INTEGRATION,372000.00,8556000,7316000,151900,3894
55,114,16,2026-02-07,SHORT_FORM,480000.00,7160000,9440000,248000,6944
56,114,18,2026-02-03,INTEGRATION,56400.00,1635600,408900,31020,545
57,114,20,2026-02-20,INTEGRATION,2250.00,66150,71100,3330,85
