DATE_DAY,SEGMENT_ID,RESPONDENTS,PROMOTERS,PASSIVES,DETRACTORS,VERBATIM_SAMPLE_ID
2025-11-03,1,932,459,349,225,
2025-11-03,9,1140,576,296,263,
2025-11-03,7,945,608,404,205,
2025-11-03,8,1187,510,298,276,
2025-11-03,2,1189,459,446,279,
2025-11-03,10,984,698,263,278,
2025-11-03,3,803,422,377,235,
2025-11-03,11,963,408,365,259,
2025-11-03,4,1158,660,357,216,
2025-11-03,12,1198,499,435,188,
2025-11-03,5,1020,601,280,231,
2025-11-03,6,1195,564,344,278,
2025-11-10,1,1134,552,423,304,
2025-11-10,9,808,447,323,180,
2025-11-10,7,1031,662,268,312,
2025-11-10,8,1161,646,329,237,
2025-11-10,2,858,643,389,280,
2025-11-10,10,1162,442,306,227,
2025-11-10,3,923,550,362,310,
2025-11-10,11,1196,538,441,217,
2025-11-10,4,1135,591,328,204,
2025-11-10,12,948,644,380,236,
2025-11-10,5,913,609,299,247,
2025-11-10,6,974,587,388,328,
2025-11-17,1,988,548,404,195,
2025-11-17,9,860,470,315,268,
2025-11-17,7,901,456,329,194,
2025-11-17,8,839,584,397,299,
2025-11-17,2,1105,487,406,165,
2025-11-17,10,978,539,299,262,
2025-11-17,3,842,462,408,180,
2025-11-17,11,862,605,370,184,
2025-11-17,4,1147,444,318,231,
2025-11-17,12,995,538,259,246,
2025-11-17,5,1152,631,381,344,
2025-11-17,6,1041,652,396,211,
2025-11-24,1,995,616,319,281,
2025-11-24,9,1040,654,299,233,
2025-11-24,7,1030,674,329,208,
2025-11-24,8,968,590,402,205,
2025-11-24,2,933,432,283,274,
2025-11-24,10,970,446,374,296,
2025-11-24,3,802,500,295,236,
2025-11-24,11,1108,478,324,315,
2025-11-24,4,980,456,363,268,
2025-11-24,12,1124,545,313,290,
2025-11-24,5,862,615,300,310,
2025-11-24,6,1007,563,441,207,
2025-12-01,1,953,531,328,251,
2025-12-01,9,954,584,292,277,
2025-12-01,7,1043,450,459,213,
2025-12-01,8,815,526,368,343,
2025-12-01,2,897,476,326,274,
2025-12-01,10,899,619,335,212,
2025-12-01,3,1111,551,426,213,
2025-12-01,11,1024,568,443,245,
2025-12-01,4,982,477,255,259,
2025-12-01,12,802,586,259,260,
2025-12-01,5,857,707,392,200,
2025-12-01,6,879,544,337,198,
2025-12-08,1,906,645,413,296,
2025-12-08,9,1193,588,345,223,
2025-12-08,7,1132,554,336,263,
2025-12-08,8,949,470,367,207,
2025-12-08,2,918,589,431,224,
2025-12-08,10,816,632,380,202,
2025-12-08,3,1163,698,306,245,
2025-12-08,11,877,471,361,228,
2025-12-08,4,1144,534,359,285,
2025-12-08,12,1176,467,319,234,
2025-12-08,5,1084,607,328,193,
2025-12-08,6,918,508,346,316,
2025-12-15,1,1010,721,341,282,
2025-12-15,9,1186,585,244,262,
2025-12-15,7,960,469,324,200,
2025-12-15,8,808,721,313,223,
2025-12-15,2,972,559,287,317,
2025-12-15,10,893,399,312,243,
2025-12-15,3,905,507,273,305,
2025-12-15,11,920,641,324,276,
2025-12-15,4,920,476,277,227,
2025-12-15,12,1108,701,374,268,
2025-12-15,5,1067,539,403,257,
2025-12-15,6,805,552,287,193,
2025-12-22,1,939,598,339,261,
2025-12-22,9,948,512,368,208,
2025-12-22,7,1195,632,265,198,
2025-12-22,8,816,640,347,291,
2025-12-22,2,850,511,339,333,
2025-12-22,10,875,535,355,191,
2025-12-22,3,939,487,311,268,
2025-12-22,11,1133,416,332,247,
2025-12-22,4,980,642,287,221,
2025-12-22,12,1136,524,319,176,
2025-12-22,5,941,613,298,208,
2025-12-22,6,1139,429,256,210,
2025-12-29,1,815,500,300,251,
2025-12-29,9,1038,598,391,223,
2025-12-29,7,820,536,384,247,
2025-12-29,8,1016,604,318,217,
2025-12-29,2,842,510,345,261,
2025-12-29,10,844,445,384,237,
2025-12-29,3,1174,419,346,247,
2025-12-29,11,990,642,416,309,
2025-12-29,4,952,554,364,312,
2025-12-29,12,832,617,255,182,
2025-12-29,5,854,610,346,300,
2025-12-29,6,955,576,366,166,
2026-01-05,1,856,585,401,263,
2026-01-05,9,914,626,299,322,
2026-01-05,7,917,534,278,191,
2026-01-05,8,916,630,278,177,
2026-01-05,2,864,546,311,232,
2026-01-05,10,1116,570,340,243,
2026-01-05,3,1129,595,289,235,
2026-01-05,11,1188,480,316,349,
2026-01-05,4,990,449,297,276,
2026-01-05,12,1040,445,375,176,
2026-01-05,5,1169,517,449,230,
2026-01-05,6,1163,578,304,289,
2026-01-12,1,1200,631,350,290,
2026-01-12,9,1173,519,369,353,
2026-01-12,7,909,520,403,309,
2026-01-12,8,1091,601,389,282,
2026-01-12,2,1067,509,294,180,
2026-01-12,10,1036,623,348,290,
2026-01-12,3,993,428,322,193,
2026-01-12,11,935,481,304,253,
2026-01-12,4,1105,493,314,290,
2026-01-12,12,872,491,342,216,
2026-01-12,5,1018,457,269,223,
2026-01-12,6,909,519,364,211,
2026-01-19,1,862,651,310,273,
2026-01-19,9,991,547,421,271,
2026-01-19,7,982,573,391,203,
2026-01-19,8,865,487,322,190,
2026-01-19,2,950,462,316,303,
2026-01-19,10,1153,657,310,218,
2026-01-19,3,1100,403,352,303,
2026-01-19,11,1062,592,414,271,
2026-01-19,4,1069,481,462,200,
2026-01-19,12,903,421,435,214,
2026-01-19,5,1065,436,293,253,
2026-01-19,6,864,682,294,284,
2026-01-26,1,986,512,392,189,
2026-01-26,9,933,429,342,268,
2026-01-26,7,1076,460,452,162,
2026-01-26,8,1025,519,364,223,
2026-01-26,2,882,527,418,208,
2026-01-26,10,863,572,365,210,
2026-01-26,3,909,714,280,233,
2026-01-26,11,1087,481,266,235,
2026-01-26,4,1118,564,383,199,
2026-01-26,12,904,404,312,298,
2026-01-26,5,1107,611,371,289,
2026-01-26,6,977,513,347,302,
2026-02-02,1,1053,453,281,265,
2026-02-02,9,942,675,398,292,
2026-02-02,7,1200,515,345,269,
2026-02-02,8,1007,691,282,253,
2026-02-02,2,1020,528,281,323,
2026-02-02,10,1000,508,327,265,
2026-02-02,3,1140,580,390,177,
2026-02-02,11,875,547,379,254,
2026-02-02,4,1036,699,305,328,
2026-02-02,12,934,625,342,252,
2026-02-02,5,898,572,403,319,
2026-02-02,6,1155,436,399,209,
2026-02-09,1,1031,457,411,216,
2026-02-09,9,917,704,410,191,
2026-02-09,7,1065,638,408,291,
2026-02-09,8,893,670,397,276,
2026-02-09,2,1129,519,382,266,
2026-02-09,10,1052,558,414,234,
2026-02-09,3,1128,490,306,260,
2026-02-09,11,948,523,277,323,
2026-02-09,4,912,480,290,239,
2026-02-09,12,1185,555,350,230,
2026-02-09,5,801,526,285,232,
2026-02-09,6,1178,620,478,260,
2026-02-16,1,958,446,326,167,
2026-02-16,9,1081,596,322,155,
2026-02-16,7,1136,561,344,241,
2026-02-16,8,863,546,343,225,
2026-02-16,2,987,542,298,239,
2026-02-16,10,1045,551,291,203,
2026-02-16,3,940,501,356,185,
2026-02-16,11,831,545,387,259,
2026-02-16,4,1170,662,397,204,
2026-02-16,12,1040,592,265,211,
2026-02-16,5,1167,585,345,237,
2026-02-16,6,875,481,381,183,
2026-02-23,1,1023,602,262,246,
2026-02-23,9,1161,574,313,218,
2026-02-23,7,1086,679,394,248,
2026-02-23,8,833,569,389,242,
2026-02-23,2,1132,480,342,283,
2026-02-23,10,991,420,338,268,
2026-02-23,3,1137,499,253,170,
2026-02-23,11,817,583,360,191,
2026-02-23,4,859,683,404,231,
2026-02-23,12,969,680,372,268,
2026-02-23,5,964,466,352,241,
2026-02-23,6,1198,513,248,248,
2026-03-02,1,1181,503,413,193,
2026-03-02,9,1095,398,356,234,
2026-03-02,7,822,627,433,199,
2026-03-02,8,1189,625,368,314,
2026-03-02,2,903,589,360,256,
2026-03-02,10,1200,507,365,201,
2026-03-02,3,1177,464,316,215,
2026-03-02,11,1056,494,452,270,
2026-03-02,4,952,574,344,183,
2026-03-02,12,1182,656,408,232,
2026-03-02,5,805,507,298,314,
2026-03-02,6,1094,437,442,203,
2026-03-09,1,835,639,340,208,
2026-03-09,9,931,579,433,242,
2026-03-09,7,912,567,408,276,
2026-03-09,8,818,424,350,333,
2026-03-09,2,950,491,334,267,
2026-03-09,10,966,538,374,204,
2026-03-09,3,1102,629,431,304,
2026-03-09,11,835,595,292,272,
2026-03-09,4,1036,580,338,227,
2026-03-09,12,903,417,348,240,
2026-03-09,5,924,538,332,326,
2026-03-09,6,1013,495,384,246,
2026-03-16,1,1159,668,343,245,
2026-03-16,9,944,548,295,292,
2026-03-16,7,1164,596,329,251,
2026-03-16,8,832,521,305,356,
2026-03-16,2,1161,669,319,237,
2026-03-16,10,804,481,315,222,
2026-03-16,3,858,488,322,261,
2026-03-16,11,1002,560,364,309,
2026-03-16,4,980,400,353,222,
2026-03-16,12,1067,428,264,243,
2026-03-16,5,1010,600,357,268,
2026-03-16,6,964,579,345,309,
2026-03-23,1,1115,488,298,351,
2026-03-23,9,1076,547,414,230,
2026-03-23,7,999,669,440,276,
2026-03-23,8,986,578,326,256,
2026-03-23,2,1056,468,301,202,
2026-03-23,10,949,483,385,276,
2026-03-23,3,1075,627,381,250,
2026-03-23,11,885,442,428,211,
2026-03-23,4,919,608,318,178,
2026-03-23,12,1113,587,261,260,
2026-03-23,5,1039,618,417,279,
2026-03-23,6,1119,600,341,260,
2026-03-30,1,800,579,366,290,
2026-03-30,9,1073,454,404,213,
2026-03-30,7,1176,579,355,247,
2026-03-30,8,947,545,327,264,
2026-03-30,2,946,574,355,304,
2026-03-30,10,927,561,411,264,
2026-03-30,3,1018,494,441,282,
2026-03-30,11,1182,493,456,198,
2026-03-30,4,1044,488,304,271,
2026-03-30,12,1177,594,372,200,
2026-03-30,5,895,613,445,265,
2026-03-30,6,1067,541,300,194,
2026-04-06,1,1101,560,413,209,
2026-04-06,9,976,534,396,213,
2026-04-06,7,833,404,303,311,
2026-04-06,8,1027,617,373,238,
2026-04-06,2,1112,586,439,194,
2026-04-06,10,1153,572,343,290,
2026-04-06,3,1071,422,343,194,
2026-04-06,11,928,512,351,190,
2026-04-06,4,1027,632,308,207,
2026-04-06,12,937,527,319,251,
2026-04-06,5,955,445,362,267,
2026-04-06,6,1014,496,383,214,
2026-04-13,1,1025,582,333,246,
2026-04-13,9,1077,546,354,172,
2026-04-13,7,1082,425,418,274,
2026-04-13,8,1027,525,371,195,
2026-04-13,2,808,643,264,189,
2026-04-13,10,1033,599,299,204,
2026-04-13,3,871,454,363,277,
2026-04-13,11,868,548,386,188,
2026-04-13,4,941,560,343,195,
2026-04-13,12,860,573,396,281,
2026-04-13,5,833,685,416,194,
2026-04-13,6,1037,475,351,249,
2026-04-20,1,808,567,381,156,
2026-04-20,9,1163,504,392,157,
2026-04-20,7,894,533,312,248,
2026-04-20,8,1180,630,280,258,
2026-04-20,2,1197,672,388,265,
2026-04-20,10,855,632,323,290,
2026-04-20,3,1169,578,347,172,
2026-04-20,11,1064,671,440,270,
2026-04-20,4,1192,496,381,236,
2026-04-20,12,832,676,292,267,
2026-04-20,5,1082,509,268,205,
2026-04-20,6,1033,461,398,279,
2026-04-27,1,887,617,380,218,
2026-04-27,9,1003,464,367,214,
2026-04-27,7,1062,478,316,280,
2026-04-27,8,1025,612,336,215,
2026-04-27,2,1038,461,302,174,
2026-04-27,10,1142,523,310,200,
2026-04-27,3,877,440,358,220,
2026-04-27,11,950,532,302,277,
2026-04-27,4,980,452,292,216,
2026-04-27,12,1075,477,329,261,
2026-04-27,5,806,604,292,241,
2026-04-27,6,1091,608,339,292,
