DATE_DAY,CHANNEL_ID,POST_ID,CAMPAIGN_ID,TITLE_ID,POST_TYPE,IMPRESSIONS,REACH,LIKES,COMMENTS,SHARES,SAVES,VIDEO_VIEWS,AVG_WATCH_SEC,FOLLOWS_ATTRIBUTED,LINK_CLICKS
2025-11-01,12,1,105,1,YT_TRAILER,1275000,2062200,38505,1355,11200,16326,1205600,76,3751,22995
2025-11-01,18,2,105,1,YT_SHORT,567000,158400,50490,2391,821,2402,465000,23,526,1416
2025-11-01,18,3,104,2,YT_LONG,303750,254700,5968,2610,1389,761,0,276,1823,10073
2025-11-01,18,4,109,8,BLOG_POST,63270,218700,8728,384,1742,2251,0,0,918,25476
2025-11-01,18,5,105,1,BLOG_POST,63555,249900,3960,507,1016,1241,0,0,809,16940
2025-11-01,19,6,101,,TT_VIDEO,837600,211800,56715,2574,1488,1448,328300,14,758,1278
2025-11-01,19,7,109,8,IG_STORY,345800,215100,8432,1861,1151,902,0,0,468,1768
2025-11-01,20,8,109,8,BLOG_DEV_DIARY,27666,285300,8328,1137,824,1839,0,0,724,805
2025-11-02,20,9,105,1,BLOG_POST,51680,167700,9016,249,843,1181,0,0,460,15422
2025-11-02,20,10,109,8,BLOG_POST,90535,295200,5152,320,1611,2165,0,0,991,9900
2025-11-02,20,11,105,1,YT_TRAILER,1075000,1283100,101490,1212,8820,10764,1137400,90,3587,26775
2025-11-03,12,12,109,8,BLOG_DEV_DIARY,60262,241200,3984,1465,908,2057,0,0,768,1414
2025-11-03,12,13,105,1,BLOG_DEV_DIARY,47212,267900,5888,1434,780,948,0,0,759,833
2025-11-03,12,14,107,,TT_TRENDING,2509500,1576400,80100,12936,34875,1311,1789300,9,3731,1196
2025-11-03,12,15,107,,IG_POST,263200,244500,10008,1509,950,10289,0,0,462,1080
2025-11-03,12,16,108,,TT_VIDEO,1134000,168300,47785,1173,1382,1705,867300,22,812,1390
2025-11-03,18,17,108,,BLOG_POST,63270,185100,9048,495,1638,1859,0,0,853,14058
2025-11-03,19,18,104,2,YT_TRAILER,2250000,1881600,98345,1415,25816,7794,1126400,70,4154,21770
2025-11-04,12,19,108,,IG_STORY,407680,136800,8384,1280,903,2004,0,0,745,1680
2025-11-04,12,20,109,8,YT_TRAILER,1935000,2095800,98345,777,9296,10908,2316600,60,5002,21560
2025-11-04,18,21,101,,TT_TRENDING,1893500,2209200,144540,5532,32175,2154,2409900,14,4713,1344
2025-11-04,18,22,104,2,BLOG_DEV_DIARY,59972,203700,3384,2365,1659,1434,0,0,292,1397
2025-11-04,18,23,101,,IG_STORY,284440,164700,6720,680,738,1899,0,0,784,4998
2025-11-04,18,24,109,8,YT_LONG,322200,121500,2904,7191,543,961,0,417,947,2644
2025-11-04,18,25,101,,TT_VIDEO,597600,176400,95190,1052,918,1505,855540,22,399,1435
2025-11-04,19,26,107,,TT_TRENDING,2915500,1265600,212580,11376,31770,1632,2610000,10,4180,882
2025-11-04,19,27,104,2,BLOG_DEV_DIARY,54056,197400,2920,724,1742,1144,0,0,944,611
2025-11-04,19,28,101,,YT_SHORT,388800,288600,29810,2200,1463,1573,272250,29,814,997
2025-11-04,20,29,104,2,YT_TRAILER,1575000,1558200,63240,2020,18284,9648,1443200,85,1403,35210
2025-11-05,12,30,107,,TT_TRENDING,1484000,2464000,178920,5748,50940,884,3311800,9,3634,470
2025-11-05,12,31,107,,IG_REEL,321100,294000,38892,1650,4308,2427,225160,15,620,1088
2025-11-05,12,32,105,1,YT_LONG,273150,264900,7568,9240,945,1668,0,416,2030,7973
2025-11-05,12,33,104,2,BLOG_POST,84740,131100,4400,144,1430,1421,0,0,930,20152
2025-11-05,18,34,104,2,IG_STORY,489840,282000,7760,1881,1221,1080,0,0,303,3158
2025-11-05,18,35,107,,IG_REEL,325650,133800,16422,1195,4308,2017,566280,17,842,1019
2025-11-05,19,36,105,1,BLOG_DEV_DIARY,33234,267900,5160,2354,990,686,0,0,902,1265
2025-11-05,19,37,101,,BLOG_POST,41230,180900,7488,408,1629,1626,0,0,256,20812
2025-11-05,20,38,105,1,IG_POST,267120,127500,11700,2339,567,9377,0,0,458,1180
2025-11-05,20,39,107,,BLOG_DEV_DIARY,62118,203700,2536,2231,1733,2301,0,0,949,947
2025-11-05,20,40,108,,IG_REEL,282750,266700,29820,909,9204,1168,582400,14,479,713
2025-11-06,12,41,104,2,TT_TRENDING,2912000,2298800,201240,7224,26325,1641,925100,12,3939,1070
2025-11-06,12,42,107,,IG_REEL,275600,191100,14574,1525,8904,2187,327080,13,464,794
2025-11-06,18,43,104,2,BLOG_DEV_DIARY,52200,132000,2624,994,1482,851,0,0,302,443
2025-11-06,18,44,108,,YT_LONG,269550,225300,8328,5330,782,1518,0,398,1312,5882
2025-11-06,18,45,107,,BLOG_POST,69540,208200,3832,234,1434,2292,0,0,281,12056
2025-11-06,19,46,108,,YT_SHORT,701100,277200,66000,1720,792,2501,834750,31,797,520
2025-11-07,12,47,101,,YT_LONG,763020,286800,4264,5772,650,739,0,369,1591,8704
2025-11-07,12,48,104,2,IG_POST,325584,143400,13680,1228,1706,7078,0,0,795,461
2025-11-07,12,49,101,,BLOG_POST,111663,146100,4304,154,585,942,0,0,877,21230
2025-11-07,12,50,105,1,YT_TRAILER,2970000,1568700,50915,2268,30856,5832,2039400,76,2066,28665
2025-11-07,18,51,104,2,YT_TRAILER,2493000,1730400,25925,1500,20468,9954,976800,67,2932,30170
