DATE_DAY,CAMPAIGN_ID,CHANNEL_ID,CONVERSION_TYPE,CONVERSIONS,REVENUE_USD,ATTRIBUTION_MODEL
2025-11-02,101,5,PREORDER,3711,0.00,last_click
2025-11-02,101,5,SUB_SIGNUP,2838,0.00,last_click
2025-11-02,101,5,STORE_ADD_TO_CART,5676,0.00,last_click
2025-11-02,101,5,STORE_PURCHASE,1310,0.00,last_click
2025-11-03,101,1,PREORDER,9720,0.00,data_driven
2025-11-03,101,1,SUB_SIGNUP,7637,0.00,data_driven
2025-11-03,101,1,STORE_ADD_TO_CART,22218,0.00,data_driven
2025-11-03,101,1,STORE_PURCHASE,3472,0.00,data_driven
2025-11-06,101,5,PREORDER,1740,0.00,last_click
2025-11-06,101,5,SUB_SIGNUP,3480,0.00,last_click
2025-11-06,101,5,STORE_ADD_TO_CART,4060,0.00,last_click
2025-11-06,101,5,STORE_PURCHASE,1740,0.00,last_click
2025-11-08,101,11,PREORDER,2424,0.00,last_click
2025-11-08,101,11,SUB_SIGNUP,2155,0.00,last_click
2025-11-08,101,11,STORE_ADD_TO_CART,8619,0.00,last_click
2025-11-08,101,11,STORE_PURCHASE,1885,0.00,last_click
2025-11-09,101,5,PREORDER,3488,0.00,data_driven
2025-11-09,101,5,SUB_SIGNUP,2873,0.00,data_driven
2025-11-09,101,5,STORE_ADD_TO_CART,4924,0.00,data_driven
2025-11-09,101,5,STORE_PURCHASE,4104,0.00,data_driven
2025-11-23,101,7,PREORDER,8978,0.00,data_driven
2025-11-23,101,7,SUB_SIGNUP,8288,0.00,data_driven
2025-11-23,101,7,STORE_ADD_TO_CART,11050,0.00,data_driven
2025-11-23,101,7,STORE_PURCHASE,3453,0.00,data_driven
2025-11-08,101,9,PREORDER,2451,0.00,last_click
2025-11-08,101,9,SUB_SIGNUP,2995,0.00,last_click
2025-11-08,101,9,STORE_ADD_TO_CART,4084,0.00,last_click
2025-11-08,101,9,STORE_PURCHASE,4629,0.00,last_click
2025-11-08,101,4,PREORDER,2235,0.00,last_click
2025-11-08,101,4,SUB_SIGNUP,5959,0.00,last_click
2025-11-08,101,4,STORE_ADD_TO_CART,5959,0.00,last_click
2025-11-08,101,4,STORE_PURCHASE,3352,0.00,last_click
2025-11-12,101,4,PREORDER,3979,0.00,last_click
2025-11-12,101,4,SUB_SIGNUP,1530,0.00,last_click
2025-11-12,101,4,STORE_ADD_TO_CART,6428,0.00,last_click
2025-11-12,101,4,STORE_PURCHASE,5815,0.00,last_click
2025-11-23,101,9,PREORDER,2671,0.00,data_driven
2025-11-23,101,9,SUB_SIGNUP,4856,0.00,data_driven
2025-11-23,101,9,STORE_ADD_TO_CART,4127,0.00,data_driven
2025-11-23,101,9,STORE_PURCHASE,4370,0.00,data_driven
2025-11-01,101,6,PREORDER,8824,0.00,data_driven
2025-11-01,101,6,SUB_SIGNUP,19854,0.00,data_driven
2025-11-01,101,6,STORE_ADD_TO_CART,27575,0.00,data_driven
2025-11-01,101,6,STORE_PURCHASE,16545,0.00,data_driven
2025-11-05,101,4,PREORDER,2204,0.00,data_driven
2025-11-05,101,4,SUB_SIGNUP,3463,0.00,data_driven
2025-11-05,101,4,STORE_ADD_TO_CART,10075,0.00,data_driven
2025-11-05,101,4,STORE_PURCHASE,1574,0.00,data_driven
2025-11-06,101,8,PREORDER,2715,0.00,last_click
2025-11-06,101,8,SUB_SIGNUP,5429,0.00,last_click
2025-11-06,101,8,STORE_ADD_TO_CART,4343,0.00,last_click
2025-11-06,101,8,STORE_PURCHASE,5158,0.00,last_click
2025-11-09,101,2,PREORDER,8397,0.00,data_driven
2025-11-09,101,2,SUB_SIGNUP,8397,0.00,data_driven
2025-11-09,101,2,STORE_ADD_TO_CART,21375,0.00,data_driven
2025-11-09,101,2,STORE_PURCHASE,4580,0.00,data_driven
2025-11-01,101,8,PREORDER,5144,0.00,data_driven
2025-11-01,101,8,SUB_SIGNUP,4842,0.00,data_driven
2025-11-01,101,8,STORE_ADD_TO_CART,7262,0.00,data_driven
2025-11-01,101,8,STORE_PURCHASE,4539,0.00,data_driven
2025-11-10,101,5,PREORDER,1996,0.00,last_click
2025-11-10,101,5,SUB_SIGNUP,1451,0.00,last_click
2025-11-10,101,5,STORE_ADD_TO_CART,3084,0.00,last_click
2025-11-10,101,5,STORE_PURCHASE,2721,0.00,last_click
2025-11-10,101,2,PREORDER,7001,0.00,last_click
2025-11-10,101,2,SUB_SIGNUP,7001,0.00,last_click
2025-11-10,101,2,STORE_ADD_TO_CART,11902,0.00,last_click
2025-11-10,101,2,STORE_PURCHASE,9801,0.00,last_click
2025-11-12,101,3,PREORDER,11506,0.00,last_click
2025-11-12,101,3,SUB_SIGNUP,2877,0.00,last_click
2025-11-12,101,3,STORE_ADD_TO_CART,13807,0.00,last_click
2025-11-12,101,3,STORE_PURCHASE,6328,0.00,last_click
2025-11-14,101,8,PREORDER,1342,0.00,last_click
2025-11-14,101,8,SUB_SIGNUP,2684,0.00,last_click
2025-11-14,101,8,STORE_ADD_TO_CART,3802,0.00,last_click
2025-11-14,101,8,STORE_PURCHASE,2236,0.00,last_click
2025-11-14,101,10,PREORDER,4230,0.00,last_click
2025-11-14,101,10,SUB_SIGNUP,4230,0.00,last_click
2025-11-14,101,10,STORE_ADD_TO_CART,7520,0.00,last_click
2025-11-14,101,10,STORE_PURCHASE,3290,0.00,last_click
2025-11-16,101,6,PREORDER,18260,0.00,last_click
2025-11-16,101,6,SUB_SIGNUP,14202,0.00,last_click
2025-11-16,101,6,STORE_ADD_TO_CART,30434,0.00,last_click
2025-11-16,101,6,STORE_PURCHASE,5072,0.00,last_click
2025-11-21,101,3,PREORDER,4614,0.00,data_driven
2025-11-21,101,3,SUB_SIGNUP,4101,0.00,data_driven
2025-11-21,101,3,STORE_ADD_TO_CART,13329,0.00,data_driven
2025-11-21,101,3,STORE_PURCHASE,4101,0.00,data_driven
2025-11-22,101,7,PREORDER,12261,0.00,last_click
2025-11-22,101,7,SUB_SIGNUP,4327,0.00,last_click
2025-11-22,101,7,STORE_ADD_TO_CART,18752,0.00,last_click
2025-11-22,101,7,STORE_PURCHASE,7933,0.00,last_click
2025-11-07,101,11,PREORDER,11162,0.00,data_driven
2025-11-07,101,11,SUB_SIGNUP,4883,0.00,data_driven
2025-11-07,101,11,STORE_ADD_TO_CART,11162,0.00,data_driven
2025-11-07,101,11,STORE_PURCHASE,12557,0.00,data_driven
2025-11-15,101,11,PREORDER,3138,0.00,data_driven
2025-11-15,101,11,SUB_SIGNUP,4828,0.00,data_driven
2025-11-15,101,11,STORE_ADD_TO_CART,4345,0.00,data_driven
2025-11-15,101,11,STORE_PURCHASE,3380,0.00,data_driven
2025-11-17,101,4,PREORDER,4692,0.00,data_driven
2025-11-17,101,4,SUB_SIGNUP,3225,0.00,data_driven
2025-11-17,101,4,STORE_ADD_TO_CART,4985,0.00,data_driven
2025-11-17,101,4,STORE_PURCHASE,2053,0.00,data_driven
2025-11-17,101,11,PREORDER,4087,0.00,data_driven
2025-11-17,101,11,SUB_SIGNUP,3633,0.00,data_driven
2025-11-17,101,11,STORE_ADD_TO_CART,4087,0.00,data_driven
2025-11-17,101,11,STORE_PURCHASE,1362,0.00,data_driven
2025-11-19,101,6,PREORDER,8948,0.00,data_driven
2025-11-19,101,6,SUB_SIGNUP,12527,0.00,data_driven
2025-11-19,101,6,STORE_ADD_TO_CART,28633,0.00,data_driven
2025-11-19,101,6,STORE_PURCHASE,8948,0.00,data_driven
2025-11-21,101,5,PREORDER,1973,0.00,data_driven
2025-11-21,101,5,SUB_SIGNUP,1644,0.00,data_driven
2025-11-21,101,5,STORE_ADD_TO_CART,3946,0.00,data_driven
2025-11-21,101,5,STORE_PURCHASE,3288,0.00,data_driven
2025-11-24,101,8,PREORDER,2300,0.00,last_click
2025-11-24,101,8,SUB_SIGNUP,3346,0.00,last_click
2025-11-24,101,8,STORE_ADD_TO_CART,5437,0.00,last_click
2025-11-24,101,8,STORE_PURCHASE,1882,0.00,last_click
2025-11-26,101,1,PREORDER,5937,0.00,last_click
2025-11-26,101,1,SUB_SIGNUP,7016,0.00,last_click
2025-11-26,101,1,STORE_ADD_TO_CART,17271,0.00,last_click
2025-11-26,101,1,STORE_PURCHASE,3238,0.00,last_click
2025-12-03,101,11,PREORDER,5779,0.00,data_driven
2025-12-03,101,11,SUB_SIGNUP,3082,0.00,data_driven
2025-12-03,101,11,STORE_ADD_TO_CART,9247,0.00,data_driven
2025-12-03,101,11,STORE_PURCHASE,3468,0.00,data_driven
2025-11-17,102,5,PREORDER,10378,605362.80,data_driven
2025-11-17,102,5,SUB_SIGNUP,1274,0.00,data_driven
2025-11-17,102,5,STORE_ADD_TO_CART,2003,0.00,data_driven
2025-11-17,102,5,STORE_PURCHASE,6554,445993.08,data_driven
2025-11-17,102,11,PREORDER,11690,777375.03,data_driven
2025-11-17,102,11,SUB_SIGNUP,1637,0.00,data_driven
2025-11-17,102,11,STORE_ADD_TO_CART,3741,0.00,data_driven
2025-11-17,102,11,STORE_PURCHASE,10287,572720.82,data_driven
2025-12-08,102,5,PREORDER,14440,1116604.83,last_click
2025-12-08,102,5,SUB_SIGNUP,6716,0.00,last_click
2025-12-08,102,5,STORE_ADD_TO_CART,1679,0.00,last_click
2025-12-08,102,5,STORE_PURCHASE,13097,822643.91,last_click
2025-11-09,101,9,PREORDER,5917,0.00,data_driven
2025-11-09,101,9,SUB_SIGNUP,4142,0.00,data_driven
2025-11-09,101,9,STORE_ADD_TO_CART,3550,0.00,data_driven
2025-11-09,101,9,STORE_PURCHASE,5325,0.00,data_driven
2025-11-10,101,7,PREORDER,4364,0.00,last_click
2025-11-10,101,7,SUB_SIGNUP,14547,0.00,last_click
2025-11-10,101,7,STORE_ADD_TO_CART,8728,0.00,last_click
2025-11-10,101,7,STORE_PURCHASE,3637,0.00,last_click
2025-11-11,101,8,PREORDER,2393,0.00,data_driven
2025-11-11,101,8,SUB_SIGNUP,2632,0.00,data_driven
2025-11-11,101,8,STORE_ADD_TO_CART,4307,0.00,data_driven
2025-11-11,101,8,STORE_PURCHASE,1675,0.00,data_driven
2025-11-13,101,7,PREORDER,7706,0.00,data_driven
2025-11-13,101,7,SUB_SIGNUP,10508,0.00,data_driven
2025-11-13,101,7,STORE_ADD_TO_CART,18214,0.00,data_driven
2025-11-13,101,7,STORE_PURCHASE,4203,0.00,data_driven
2025-11-14,101,9,PREORDER,1703,0.00,last_click
2025-11-14,101,9,SUB_SIGNUP,3619,0.00,last_click
2025-11-14,101,9,STORE_ADD_TO_CART,4470,0.00,last_click
2025-11-14,101,9,STORE_PURCHASE,1064,0.00,last_click
2025-11-18,101,7,PREORDER,7796,0.00,last_click
2025-11-18,101,7,SUB_SIGNUP,11394,0.00,last_click
2025-11-18,101,7,STORE_ADD_TO_CART,8396,0.00,last_click
2025-11-18,101,7,STORE_PURCHASE,9595,0.00,last_click
2025-11-20,101,7,PREORDER,11708,0.00,last_click
2025-11-20,101,7,SUB_SIGNUP,3903,0.00,last_click
2025-11-20,101,7,STORE_ADD_TO_CART,10407,0.00,last_click
2025-11-20,101,7,STORE_PURCHASE,11708,0.00,last_click
2025-11-23,101,1,PREORDER,10126,0.00,data_driven
