DATE_DAY,TIER,REGION,GROSS_ADDS,CANCELS,NET_SUBS,MRR_USD
2025-11-01,PREMIUM,NA,489,224,1002170,16892917.63
2025-11-01,PREMIUM,APAC,255,82,421959,7934270.02
2025-11-01,PREMIUM,LATAM,153,49,220075,4246510.72
2025-11-01,PREMIUM,EMEA,575,92,660990,13582093.80
2025-11-01,ESSENTIAL,NA,2354,528,3118385,29881123.97
2025-11-01,ESSENTIAL,APAC,1052,196,1461339,13064327.60
2025-11-01,ESSENTIAL,LATAM,353,107,717750,7564690.24
2025-11-01,ESSENTIAL,EMEA,2056,480,2259637,23635773.07
2025-11-01,EXTRA,APAC,583,138,633604,10428866.78
2025-11-01,EXTRA,NA,805,341,1635287,24410705.34
2025-11-01,EXTRA,LATAM,201,69,359554,5050113.01
2025-11-01,EXTRA,EMEA,642,302,1248531,18602284.20
2025-11-02,PREMIUM,NA,568,218,929699,17600669.42
2025-11-02,PREMIUM,APAC,178,99,438376,8684593.34
2025-11-02,PREMIUM,LATAM,114,50,203215,3927224.20
2025-11-02,PREMIUM,EMEA,378,143,758037,12083664.42
2025-11-02,ESSENTIAL,NA,2184,649,3610761,36807655.50
2025-11-02,ESSENTIAL,APAC,1041,306,1300563,13207734.05
2025-11-02,ESSENTIAL,LATAM,292,174,756509,7414113.47
2025-11-02,ESSENTIAL,EMEA,1251,447,2563723,24401404.17
2025-11-02,EXTRA,APAC,522,122,694991,9344352.28
2025-11-02,EXTRA,NA,969,297,1561963,21777927.70
2025-11-02,EXTRA,LATAM,301,69,339457,5614279.65
2025-11-02,EXTRA,EMEA,803,227,1200704,19168276.62
2025-11-03,PREMIUM,NA,418,144,1087065,19016172.99
2025-11-03,PREMIUM,APAC,256,102,482302,7024303.44
2025-11-03,PREMIUM,LATAM,138,50,211867,4346287.75
2025-11-03,PREMIUM,EMEA,285,118,828339,13609587.92
2025-11-03,ESSENTIAL,NA,2482,394,3677751,30851507.61
2025-11-03,ESSENTIAL,APAC,719,297,1291950,12892239.86
2025-11-03,ESSENTIAL,LATAM,475,134,740718,7464305.72
2025-11-03,ESSENTIAL,EMEA,1313,285,2378305,24475497.50
2025-11-03,EXTRA,APAC,295,153,704491,11458607.83
2025-11-03,EXTRA,NA,1057,307,1543206,24742997.66
2025-11-03,EXTRA,LATAM,172,59,386593,4732426.94
2025-11-03,EXTRA,EMEA,845,231,1089948,18470219.31
2025-11-04,PREMIUM,NA,569,223,1032194,16427291.45
2025-11-04,PREMIUM,APAC,332,75,419297,6808785.04
2025-11-04,PREMIUM,LATAM,101,43,229393,3699732.55
2025-11-04,PREMIUM,EMEA,284,105,760329,12468582.06
2025-11-04,ESSENTIAL,NA,1445,554,3661004,36774194.00
2025-11-04,ESSENTIAL,APAC,945,220,1314918,15602621.76
2025-11-04,ESSENTIAL,LATAM,287,153,633056,6560845.09
2025-11-04,ESSENTIAL,EMEA,1372,421,2118718,21684648.65
2025-11-04,EXTRA,APAC,447,95,648220,11360015.60
2025-11-04,EXTRA,NA,779,312,1746125,23132657.94
2025-11-04,EXTRA,LATAM,144,64,398286,5115841.16
2025-11-04,EXTRA,EMEA,829,208,1336633,19904066.77
2025-11-05,PREMIUM,NA,549,200,1014594,17861420.07
2025-11-05,PREMIUM,APAC,329,99,429945,7846466.23
2025-11-05,PREMIUM,LATAM,163,46,190569,4174671.25
2025-11-05,PREMIUM,EMEA,286,104,750395,12124905.60
2025-11-05,ESSENTIAL,NA,2162,433,2877221,34799965.20
2025-11-05,ESSENTIAL,APAC,611,277,1234530,13035646.31
2025-11-05,ESSENTIAL,LATAM,462,130,640233,7528838.63
2025-11-05,ESSENTIAL,EMEA,1675,285,2615641,24179124.17
2025-11-05,EXTRA,APAC,417,93,711799,9957815.03
2025-11-05,EXTRA,NA,1094,309,1741009,22698121.82
2025-11-05,EXTRA,LATAM,218,43,337995,5017248.94
2025-11-05,EXTRA,EMEA,767,186,1281255,20394593.53
2025-11-06,PREMIUM,NA,758,175,1052900,16911542.68
2025-11-06,PREMIUM,APAC,198,71,446806,8197681.40
2025-11-06,PREMIUM,LATAM,90,32,191235,3959152.85
2025-11-06,PREMIUM,EMEA,529,123,739697,13870782.03
2025-11-06,ESSENTIAL,NA,1879,728,3265763,34298042.63
2025-11-06,ESSENTIAL,APAC,1027,242,1527372,15502237.25
2025-11-06,ESSENTIAL,LATAM,257,143,717032,7729607.66
2025-11-06,ESSENTIAL,EMEA,970,392,2393138,25241128.61
2025-11-06,EXTRA,APAC,374,136,701568,10450776.17
2025-11-06,EXTRA,NA,1136,348,1689853,22493634.24
2025-11-06,EXTRA,LATAM,268,73,344572,4798155.10
2025-11-06,EXTRA,EMEA,637,297,1254824,18941879.66
2025-11-07,PREMIUM,NA,733,156,1032194,17619294.46
2025-11-07,PREMIUM,APAC,221,93,471653,7870412.72
2025-11-07,PREMIUM,LATAM,172,26,240929,3991081.50
2025-11-07,PREMIUM,EMEA,361,92,666339,14695605.54
2025-11-07,ESSENTIAL,NA,2712,376,3185375,31119199.65
2025-11-07,ESSENTIAL,APAC,802,247,1418274,14541414.03
2025-11-07,ESSENTIAL,LATAM,434,93,643104,6962383.15
2025-11-07,ESSENTIAL,EMEA,2080,543,2375832,26154946.37
2025-11-07,EXTRA,APAC,497,171,751993,10483640.24
2025-11-07,EXTRA,NA,857,205,1451125,22953731.30
2025-11-07,EXTRA,LATAM,330,72,335437,5439004.58
2025-11-07,EXTRA,EMEA,608,264,1106309,19564471.32
2025-11-08,PREMIUM,NA,608,150,991817,18736797.28
2025-11-08,PREMIUM,APAC,306,71,382469,6968428.30
2025-11-08,PREMIUM,LATAM,118,33,218744,4238528.55
2025-11-08,PREMIUM,EMEA,405,152,712952,11781229.13
2025-11-08,ESSENTIAL,NA,2078,758,3021249,35168041.76
2025-11-08,ESSENTIAL,APAC,897,230,1297692,15100699.19
2025-11-08,ESSENTIAL,LATAM,332,117,650282,6317054.12
2025-11-08,ESSENTIAL,EMEA,1699,578,2294248,21314181.98
2025-11-08,EXTRA,APAC,442,100,803149,10680824.70
2025-11-08,EXTRA,NA,1383,195,1459651,24461827.24
2025-11-08,EXTRA,LATAM,184,64,369419,5669053.11
2025-11-08,EXTRA,EMEA,867,189,1193153,20224795.81
2025-11-09,PREMIUM,NA,762,135,1108806,20487551.70
2025-11-09,PREMIUM,APAC,288,49,442813,7271750.49
2025-11-09,PREMIUM,LATAM,124,49,190347,4342296.67
2025-11-09,PREMIUM,EMEA,602,92,668631,12729776.17
2025-11-09,ESSENTIAL,NA,1730,737,3245666,31955737.28
2025-11-09,ESSENTIAL,APAC,940,161,1426887,15215424.35
2025-11-09,ESSENTIAL,LATAM,500,101,747896,6955212.83
2025-11-09,ESSENTIAL,EMEA,1028,352,2116246,25710386.38
2025-11-09,EXTRA,APAC,547,128,803149,10691779.39
2025-11-09,EXTRA,NA,806,313,1712021,22059098.12
2025-11-09,EXTRA,LATAM,143,77,329956,4677653.48
2025-11-09,EXTRA,EMEA,920,166,1115120,17809894.82
2025-11-10,PREMIUM,NA,557,165,996994,20357176.37
2025-11-10,PREMIUM,APAC,231,92,408648,8125841.93
2025-11-10,PREMIUM,LATAM,105,45,220963,3508160.64
2025-11-10,PREMIUM,EMEA,501,113,803122,13747058.50
2025-11-10,ESSENTIAL,NA,1967,523,3185375,35636502.83
2025-11-10,ESSENTIAL,APAC,1012,164,1277595,14039491.46
2025-11-10,ESSENTIAL,LATAM,289,153,699806,7786970.24
2025-11-10,ESSENTIAL,EMEA,1007,367,2145913,25784479.71
2025-11-10,EXTRA,APAC,477,112,761494,10428866.78
2025-11-10,EXTRA,NA,1180,393,1812628,26532264.02
2025-11-10,EXTRA,LATAM,277,82,392805,5165137.28
2025-11-10,EXTRA,EMEA,559,266,1131481,20224795.81
2025-11-11,PREMIUM,NA,763,127,930735,16092040.61
2025-11-11,PREMIUM,APAC,224,51,472541,7599019.18
2025-11-11,PREMIUM,LATAM,139,30,224069,3715696.88
2025-11-11,PREMIUM,EMEA,527,130,715244,12193640.89
2025-11-11,ESSENTIAL,NA,1630,559,3024599,35168041.76
2025-11-11,ESSENTIAL,APAC,800,284,1342193,14154216.62
2025-11-11,ESSENTIAL,LATAM,416,110,628031,7277877.34
2025-11-11,ESSENTIAL,EMEA,1513,495,2620585,23808657.51
2025-11-11,EXTRA,APAC,469,148,800957,9837313.42
2025-11-11,EXTRA,NA,674,356,1456241,24589631.98
2025-11-11,EXTRA,LATAM,262,44,382574,5543074.15
2025-11-11,EXTRA,EMEA,750,183,1081137,18734349.10
2025-11-12,PREMIUM,NA,365,123,968006,16036165.47
2025-11-12,PREMIUM,APAC,185,71,479640,8660646.86
2025-11-12,PREMIUM,LATAM,93,27,235827,3532107.13
2025-11-12,PREMIUM,EMEA,522,169,791659,13527105.56
2025-11-12,ESSENTIAL,NA,2356,438,3171977,29345739.89
2025-11-12,ESSENTIAL,APAC,892,220,1527372,12619767.60
2025-11-12,ESSENTIAL,LATAM,295,81,748613,6360076.06
2025-11-12,ESSENTIAL,EMEA,1864,386,2672502,26698297.48
2025-11-12,EXTRA,APAC,302,132,668682,10352183.94
2025-11-12,EXTRA,NA,1234,369,1730778,26506703.08
2025-11-12,EXTRA,LATAM,173,67,335803,5318502.97
2025-11-12,EXTRA,EMEA,575,197,1137774,16942039.77
2025-11-13,PREMIUM,NA,407,173,1014594,18066295.59
2025-11-13,PREMIUM,APAC,254,57,458342,7032285.60
2025-11-13,PREMIUM,LATAM,134,47,231833,3795518.51
2025-11-13,PREMIUM,EMEA,366,91,802358,12001182.07
2025-11-13,ESSENTIAL,NA,2309,809,2997803,32491121.36
2025-11-13,ESSENTIAL,APAC,656,195,1386693,12418998.57
2025-11-13,ESSENTIAL,LATAM,292,135,718468,6338565.09
2025-11-13,ESSENTIAL,EMEA,1532,291,2363471,22079813.09
2025-11-13,EXTRA,APAC,262,168,740300,9705857.11
2025-11-13,EXTRA,NA,1234,327,1872310,27171287.72
