DATE_DAY,TITLE_ID,EVENT_TYPE,EVENT_COUNT,REVENUE_USD
2025-11-01,1,PREORDER,13,1030.30
2025-11-01,1,ADD_TO_CART,25,0.00
2025-11-01,1,VIEW,1001,0.00
2025-11-01,1,WISHLIST,65,0.00
2025-11-01,1,PURCHASE,48,1369.00
2025-11-01,3,PREORDER,12,1085.36
2025-11-01,3,ADD_TO_CART,34,0.00
2025-11-01,3,VIEW,715,0.00
2025-11-01,3,WISHLIST,161,0.00
2025-11-01,3,PURCHASE,19,1805.74
2025-11-01,5,PREORDER,8,1030.30
2025-11-01,5,ADD_TO_CART,27,0.00
2025-11-01,5,VIEW,882,0.00
2025-11-01,5,WISHLIST,104,0.00
2025-11-01,5,PURCHASE,43,2433.55
2025-11-01,7,PREORDER,16,892.18
2025-11-01,7,ADD_TO_CART,94,0.00
2025-11-01,7,VIEW,526,0.00
2025-11-01,7,WISHLIST,143,0.00
2025-11-01,7,PURCHASE,46,1240.92
2025-11-01,9,PREORDER,12,745.66
2025-11-01,9,ADD_TO_CART,67,0.00
2025-11-01,9,VIEW,525,0.00
2025-11-01,9,WISHLIST,87,0.00
2025-11-01,9,PURCHASE,36,1387.90
2025-11-01,11,PREORDER,8,671.93
2025-11-01,11,ADD_TO_CART,67,0.00
2025-11-01,11,VIEW,542,0.00
2025-11-01,11,WISHLIST,80,0.00
2025-11-01,11,PURCHASE,22,1700.76
2025-11-01,13,PREORDER,7,874.45
2025-11-01,13,ADD_TO_CART,28,0.00
2025-11-01,13,VIEW,560,0.00
2025-11-01,13,WISHLIST,51,0.00
2025-11-01,13,PURCHASE,29,2244.58
2025-11-01,15,PREORDER,6,745.66
2025-11-01,15,ADD_TO_CART,23,0.00
2025-11-01,15,VIEW,235,0.00
2025-11-01,15,WISHLIST,64,0.00
2025-11-01,15,PURCHASE,42,2097.60
2025-11-01,17,PREORDER,8,987.37
2025-11-01,17,ADD_TO_CART,53,0.00
2025-11-01,17,VIEW,304,0.00
2025-11-01,17,WISHLIST,130,0.00
2025-11-01,17,PURCHASE,31,1060.35
2025-11-01,19,PREORDER,13,840.85
2025-11-01,19,ADD_TO_CART,44,0.00
2025-11-01,19,VIEW,551,0.00
2025-11-01,19,WISHLIST,70,0.00
2025-11-01,19,PURCHASE,51,1455.09
2025-11-01,21,PREORDER,13,953.77
2025-11-01,21,ADD_TO_CART,91,0.00
2025-11-01,21,VIEW,495,0.00
2025-11-01,21,WISHLIST,91,0.00
2025-11-01,21,PURCHASE,46,976.36
2025-11-01,23,PREORDER,17,655.13
2025-11-01,23,ADD_TO_CART,51,0.00
2025-11-01,23,VIEW,797,0.00
2025-11-01,23,WISHLIST,57,0.00
2025-11-01,23,PURCHASE,52,2504.94
2025-11-01,25,PREORDER,8,433.02
2025-11-01,25,ADD_TO_CART,33,0.00
2025-11-01,25,VIEW,721,0.00
2025-11-01,25,WISHLIST,128,0.00
2025-11-01,25,PURCHASE,18,1738.55
2025-11-01,27,PREORDER,7,301.44
2025-11-01,27,ADD_TO_CART,60,0.00
2025-11-01,27,VIEW,303,0.00
2025-11-01,27,WISHLIST,43,0.00
2025-11-01,27,PURCHASE,21,1658.76
2025-11-01,29,PREORDER,8,607.54
2025-11-01,29,ADD_TO_CART,28,0.00
2025-11-01,29,VIEW,263,0.00
2025-11-01,29,WISHLIST,68,0.00
2025-11-01,29,PURCHASE,21,1770.05
2025-11-02,2,PREORDER,11,1103.09
2025-11-02,2,ADD_TO_CART,32,0.00
2025-11-02,2,VIEW,1179,0.00
2025-11-02,2,WISHLIST,132,0.00
2025-11-02,2,PURCHASE,31,1919.13
2025-11-02,4,PREORDER,8,279.97
2025-11-02,4,ADD_TO_CART,93,0.00
2025-11-02,4,VIEW,638,0.00
2025-11-02,4,WISHLIST,80,0.00
2025-11-02,4,PURCHASE,16,1014.16
2025-11-02,6,PREORDER,6,1041.50
2025-11-02,6,ADD_TO_CART,76,0.00
2025-11-02,6,VIEW,544,0.00
2025-11-02,6,WISHLIST,110,0.00
2025-11-02,6,PURCHASE,48,2444.05
2025-11-02,8,PREORDER,11,1099.36
2025-11-02,8,ADD_TO_CART,32,0.00
