DATE_DAY,PAGE_CATEGORY,SEGMENT_ID,SESSIONS,UNIQUE_VISITORS,BOUNCE_RATE,AVG_DWELL_SEC,SIGNUPS
2025-11-01,product_ps5,1,15350,4824,0.295,111,109
2025-11-01,psplus,1,6482,4251,0.458,62,685
2025-11-01,product_ps5_pro,1,7046,4699,0.521,208,87
2025-11-01,home,1,19950,8880,0.444,156,70
2025-11-01,game_detail_spiderman2,1,5552,3443,0.362,118,79
2025-11-01,game_detail_astro,1,3876,1734,0.374,142,82
2025-11-01,game_detail_gta6,1,13373,6841,0.544,144,108
2025-11-01,support,1,5013,2091,0.395,224,88
2025-11-01,psplus,4,6402,5068,0.465,154,554
2025-11-01,product_ps5_pro,4,9935,6042,0.328,135,102
2025-11-01,product_ps5,4,12325,7016,0.291,112,113
2025-11-01,home,4,21488,10500,0.250,120,65
2025-11-01,game_detail_spiderman2,4,4950,2468,0.304,164,74
2025-11-01,game_detail_astro,4,3176,1610,0.356,153,114
2025-11-01,game_detail_gta6,4,18375,8633,0.338,167,84
2025-11-01,support,4,3958,1904,0.328,213,115
2025-11-01,product_ps5_pro,5,12479,4028,0.460,201,90
2025-11-01,product_ps5,5,9938,7800,0.250,105,95
2025-11-01,psplus,5,9136,4517,0.388,112,406
2025-11-01,home,5,15769,7836,0.508,131,60
2025-11-01,game_detail_spiderman2,5,4606,2695,0.439,125,60
2025-11-01,game_detail_astro,5,4164,1839,0.314,163,49
2025-11-01,game_detail_gta6,5,13869,6776,0.349,76,71
2025-11-01,support,5,4375,1627,0.306,87,55
2025-11-01,product_ps5,6,8988,5288,0.506,195,69
2025-11-01,psplus,6,7525,4863,0.423,158,613
2025-11-01,product_ps5_pro,6,8768,4446,0.399,90,89
2025-11-01,home,6,14944,7320,0.277,106,62
2025-11-01,game_detail_spiderman2,6,5426,3315,0.301,87,119
2025-11-01,game_detail_astro,6,3394,1503,0.511,99,101
2025-11-01,game_detail_gta6,6,16173,7541,0.327,62,105
2025-11-01,support,6,5121,2357,0.315,131,71
2025-11-01,psplus,2,9333,2851,0.420,206,638
2025-11-01,product_ps5_pro,2,10480,5934,0.399,127,77
2025-11-01,product_ps5,2,9375,6824,0.366,139,73
2025-11-01,home,2,19350,10020,0.424,215,56
2025-11-01,game_detail_spiderman2,2,4303,3623,0.284,214,67
2025-11-01,game_detail_gta6,2,15415,6123,0.527,45,93
2025-11-01,game_detail_astro,2,3081,2385,0.287,197,61
2025-11-01,support,2,4329,2664,0.394,167,88
2025-11-01,product_ps5_pro,3,6947,4136,0.288,138,74
2025-11-01,product_ps5,3,16075,5424,0.507,95,54
2025-11-01,home,3,18694,7332,0.525,162,87
2025-11-01,psplus,3,5593,3593,0.424,171,485
2025-11-01,game_detail_spiderman2,3,4062,3326,0.481,126,114
2025-11-01,game_detail_gta6,3,11667,10201,0.544,133,97
2025-11-01,game_detail_astro,3,3566,1612,0.399,108,96
2025-11-01,support,3,3483,2877,0.402,135,56
2025-11-02,product_ps5,1,10950,6488,0.475,127,83
2025-11-02,psplus,1,6679,4083,0.502,121,469
2025-11-02,product_ps5_pro,1,10757,5041,0.515,69,54
2025-11-02,home,1,13613,11976,0.357,128,101
2025-11-02,game_detail_spiderman2,1,5855,3769,0.377,102,112
2025-11-02,game_detail_astro,1,4018,2424,0.535,123,51
2025-11-02,game_detail_gta6,1,13212,9296,0.421,69,115
2025-11-02,support,1,3821,2155,0.411,135,53
2025-11-02,psplus,4,7933,3691,0.508,165,378
2025-11-02,product_ps5_pro,4,7303,6593,0.347,133,81
2025-11-02,product_ps5,4,10613,7824,0.353,96,74
2025-11-02,home,4,18263,7800,0.534,194,92
2025-11-02,game_detail_spiderman2,4,7339,2827,0.483,58,93
2025-11-02,game_detail_astro,4,3485,2450,0.392,65,67
2025-11-02,game_detail_gta6,4,18608,5889,0.390,218,56
2025-11-02,support,4,5142,2691,0.480,156,57
2025-11-02,product_ps5_pro,5,7541,6086,0.330,45,58
2025-11-02,product_ps5,5,16063,7200,0.340,135,111
2025-11-02,psplus,5,6759,4004,0.353,141,622
2025-11-02,home,5,24263,7584,0.402,139,80
2025-11-02,game_detail_spiderman2,5,6594,2625,0.499,93,99
2025-11-02,game_detail_astro,5,4262,2256,0.532,58,114
2025-11-02,game_detail_gta6,5,14044,8101,0.260,135,90
2025-11-02,support,5,3083,1635,0.544,92,106
2025-11-02,product_ps5,6,11588,5352,0.331,146,91
2025-11-02,psplus,6,7270,4858,0.342,182,665
2025-11-02,product_ps5_pro,6,7491,6321,0.368,101,102
2025-11-02,home,6,15263,7620,0.511,111,109
2025-11-02,game_detail_spiderman2,6,4835,2779,0.351,149,80
2025-11-02,game_detail_astro,6,2654,2021,0.391,73,103
2025-11-02,game_detail_gta6,6,11025,6496,0.530,54,62
2025-11-02,support,6,3604,2072,0.468,165,75
2025-11-02,psplus,2,6373,3234,0.418,49,450
2025-11-02,product_ps5_pro,2,12399,5345,0.254,111,65
2025-11-02,product_ps5,2,9025,4992,0.460,180,110
2025-11-02,home,2,19088,8160,0.393,54,113
2025-11-02,game_detail_spiderman2,2,4618,3282,0.356,145,53
2025-11-02,game_detail_gta6,2,10879,9175,0.482,120,89
2025-11-02,game_detail_astro,2,4597,2532,0.455,160,117
2025-11-02,support,2,5271,2632,0.545,206,94
2025-11-02,product_ps5_pro,3,9985,4288,0.542,110,78
2025-11-02,product_ps5,3,12225,4984,0.504,47,85
2025-11-02,home,3,15638,10236,0.368,56,98
2025-11-02,psplus,3,6861,4583,0.285,135,734
2025-11-02,game_detail_spiderman2,3,6354,2974,0.540,106,100
2025-11-02,game_detail_gta6,3,10354,8297,0.416,100,104
2025-11-02,game_detail_astro,3,3631,2546,0.536,48,119
2025-11-02,support,3,4108,2533,0.258,212,109
2025-11-03,product_ps5,1,13000,6464,0.400,58,102
2025-11-03,psplus,1,5320,3677,0.282,96,638
2025-11-03,product_ps5_pro,1,9666,4408,0.404,56,95
2025-11-03,home,1,18060,11652,0.534,139,107
2025-11-03,game_detail_spiderman2,1,5601,2732,0.542,57,62
2025-11-03,game_detail_astro,1,3777,1988,0.516,193,71
2025-11-03,game_detail_gta6,1,9508,9940,0.282,197,116
2025-11-03,support,1,3367,2683,0.407,191,63
2025-11-03,psplus,4,6358,3761,0.488,52,478
2025-11-03,product_ps5_pro,4,8320,4509,0.269,55,76
2025-11-03,product_ps5,4,11950,8144,0.257,186,72
2025-11-03,home,4,17820,7908,0.380,169,97
2025-11-03,game_detail_spiderman2,4,3955,2625,0.313,61,76
2025-11-03,game_detail_astro,4,3415,1822,0.418,116,93
2025-11-03,game_detail_gta6,4,11352,9912,0.346,64,90
2025-11-03,support,4,3697,2325,0.412,158,114
2025-11-03,product_ps5_pro,5,8534,5041,0.397,192,63
2025-11-03,product_ps5,5,10410,6712,0.381,136,83
2025-11-03,psplus,5,6691,2945,0.508,55,644
2025-11-03,home,5,15285,9480,0.370,59,114
2025-11-03,game_detail_spiderman2,5,4024,3014,0.350,158,77
2025-11-03,game_detail_astro,5,2441,2249,0.286,121,95
2025-11-03,game_detail_gta6,5,14583,6216,0.467,192,105
2025-11-03,support,5,2970,2304,0.513,181,58
2025-11-03,product_ps5,6,10890,8656,0.504,213,72
2025-11-03,psplus,6,6755,3220,0.403,178,781
2025-11-03,product_ps5_pro,6,8186,4117,0.254,222,91
2025-11-03,home,6,17325,11916,0.412,190,90
2025-11-03,game_detail_spiderman2,6,4913,2295,0.284,85,108
2025-11-03,game_detail_astro,6,2675,1505,0.348,134,107
2025-11-03,game_detail_gta6,6,13802,8671,0.342,69,107
2025-11-03,support,6,4147,2021,0.471,196,109
2025-11-03,psplus,2,4900,4009,0.402,99,704
2025-11-03,product_ps5_pro,2,9041,6853,0.467,59,67
2025-11-03,product_ps5,2,11570,8352,0.448,168,61
2025-11-03,home,2,13050,11676,0.521,166,49
2025-11-03,game_detail_spiderman2,2,4166,3744,0.470,101,85
2025-11-03,game_detail_gta6,2,8832,8605,0.540,204,81
2025-11-03,game_detail_astro,2,3684,2081,0.270,211,117
2025-11-03,support,2,3660,2205,0.384,162,53
2025-11-03,product_ps5_pro,3,7133,6245,0.546,174,72
2025-11-03,product_ps5,3,11450,4816,0.303,176,72
2025-11-03,home,3,12735,9468,0.498,124,79
2025-11-03,psplus,3,6965,5133,0.298,186,720
2025-11-03,game_detail_spiderman2,3,4808,3403,0.336,137,86
2025-11-03,game_detail_gta6,3,14117,7103,0.525,162,60
2025-11-03,game_detail_astro,3,3293,2385,0.422,169,82
2025-11-03,support,3,3717,2085,0.293,194,63
2025-11-04,product_ps5,1,10700,8496,0.401,71,79
2025-11-04,psplus,1,5833,4284,0.380,195,536
2025-11-04,product_ps5_pro,1,9318,6739,0.327,164,105
2025-11-04,home,1,15750,7800,0.388,97,106
2025-11-04,game_detail_spiderman2,1,4363,3483,0.293,137,120
2025-11-04,game_detail_astro,1,3092,1792,0.407,211,82
2025-11-04,game_detail_gta6,1,13347,8176,0.284,201,70
2025-11-04,support,1,4043,2333,0.529,156,79
2025-11-04,psplus,4,6469,4265,0.441,135,355
2025-11-04,product_ps5_pro,4,9595,4484,0.283,218,88
2025-11-04,product_ps5,4,8550,6496,0.260,98,89
2025-11-04,home,4,17100,12732,0.498,88,114
2025-11-04,game_detail_spiderman2,4,5954,4022,0.487,112,108
2025-11-04,game_detail_astro,4,2762,2007,0.352,214,98
2025-11-04,game_detail_gta6,4,13183,9137,0.416,70,108
2025-11-04,support,4,3413,2101,0.275,207,91
2025-11-04,product_ps5_pro,5,9247,5358,0.421,151,87
2025-11-04,product_ps5,5,8790,6448,0.418,184,65
2025-11-04,psplus,5,4223,3369,0.382,81,566
2025-11-04,home,5,14565,8340,0.359,112,110
2025-11-04,game_detail_spiderman2,5,5032,2453,0.385,66,96
2025-11-04,game_detail_astro,5,2415,1594,0.251,172,100
2025-11-04,game_detail_gta6,5,11025,10024,0.548,117,81
2025-11-04,support,5,2440,2904,0.520,223,118
2025-11-04,product_ps5,6,8880,8312,0.440,67,51
2025-11-04,psplus,6,5565,3337,0.511,86,696
2025-11-04,product_ps5_pro,6,10023,6688,0.426,52,114
2025-11-04,home,6,16875,8832,0.439,195,68
2025-11-04,game_detail_spiderman2,6,5734,2365,0.527,97,104
2025-11-04,game_detail_astro,6,3634,2100,0.518,150,50
2025-11-04,game_detail_gta6,6,14327,7887,0.457,153,67
2025-11-04,support,6,3567,2933,0.324,104,68
2025-11-04,psplus,2,6737,4186,0.518,99,777
2025-11-04,product_ps5_pro,2,9706,5865,0.543,65,93
2025-11-04,product_ps5,2,12790,5424,0.339,109,57
2025-11-04,home,2,11730,7212,0.354,166,101
2025-11-04,game_detail_spiderman2,2,4020,2614,0.279,49,51
2025-11-04,game_detail_gta6,2,8715,7084,0.312,58,100
2025-11-04,game_detail_astro,2,2896,2548,0.284,197,109
2025-11-04,support,2,2400,2544,0.432,216,65
2025-11-04,product_ps5_pro,3,8566,6251,0.297,127,70
2025-11-04,product_ps5,3,11950,4904,0.305,64,119
2025-11-04,home,3,16125,9216,0.464,219,61
2025-11-04,psplus,3,6621,3215,0.397,87,558
2025-11-04,game_detail_spiderman2,3,5679,3150,0.382,223,86
2025-11-04,game_detail_gta6,3,12273,7476,0.269,90,76
2025-11-04,game_detail_astro,3,3375,2175,0.439,180,89
2025-11-04,support,3,3243,2059,0.378,77,65
2025-11-05,product_ps5,1,11170,6536,0.425,208,70
2025-11-05,psplus,1,5238,2884,0.410,196,490
2025-11-05,product_ps5_pro,1,10252,4991,0.418,91,66
2025-11-05,home,1,16680,11616,0.260,156,111
2025-11-05,game_detail_spiderman2,1,3754,2640,0.535,84,80
2025-11-05,game_detail_astro,1,2966,1661,0.478,187,78
