REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,LINE_ITEM,INSERTION_ORDER,REVENUE_ADV_CURRENCY,ACTIVE_VIEW_PCT,VIEWABLE_IMPRESSIONS,LOADED_AT
2025-11-01,PS5 Pro Launch Global,partner_0451,431.64,3631579,45758,LI_101_CAROUSEL,IO_101,440.2700,0.909,2469474,2026-05-04 11:41:52.776000-07:00
2025-11-02,PS5 Pro Launch Global,partner_0451,487.28,3631579,37466,LI_101_CAROUSEL,IO_101,497.0200,0.671,2469474,2026-05-04 11:41:52.776000-07:00
2025-11-03,PS5 Pro Launch Global,partner_0451,440.53,3157895,37599,LI_101_CAROUSEL,IO_101,449.3400,0.636,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-04,PS5 Pro Launch Global,partner_0451,447.15,3157895,45923,LI_101_CAROUSEL,IO_101,456.0900,0.832,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-05,PS5 Pro Launch Global,partner_0451,386.03,3157895,42796,LI_101_CAROUSEL,IO_101,393.7500,0.787,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-06,PS5 Pro Launch Global,partner_0451,511.83,3157895,46989,LI_101_CAROUSEL,IO_101,522.0600,0.694,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-07,PS5 Pro Launch Global,partner_0451,1952.38,10105263,82734,LI_101_CAROUSEL,IO_101,1991.4200,0.670,6871579,2026-05-04 11:41:52.776000-07:00
2025-11-08,PS5 Pro Launch Global,partner_0451,431.64,3631579,40796,LI_101_CAROUSEL,IO_101,440.2700,0.769,2469474,2026-05-04 11:41:52.776000-07:00
2025-11-09,PS5 Pro Launch Global,partner_0451,539.40,3631579,29913,LI_101_CAROUSEL,IO_101,550.1900,0.696,2469474,2026-05-04 11:41:52.776000-07:00
2025-11-10,PS5 Pro Launch Global,partner_0451,441.55,3157895,29891,LI_101_CAROUSEL,IO_101,450.3800,0.701,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-11,PS5 Pro Launch Global,partner_0451,479.74,3157895,38640,LI_101_CAROUSEL,IO_101,489.3400,0.874,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-12,PS5 Pro Launch Global,partner_0451,377.38,3157895,30240,LI_101_CAROUSEL,IO_101,384.9200,0.800,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-13,PS5 Pro Launch Global,partner_0451,657.48,3157895,44248,LI_101_CAROUSEL,IO_101,670.6300,0.816,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-14,PS5 Pro Launch Global,partner_0451,436.45,3157895,33671,LI_101_CAROUSEL,IO_101,445.1800,0.781,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-16,PS5 Pro Launch Global,partner_0451,480.25,3631579,38669,LI_101_CAROUSEL,IO_101,489.8600,0.839,2469474,2026-05-04 11:41:52.776000-07:00
2025-11-17,PS5 Pro Launch Global,partner_0451,636.60,3157895,28088,LI_101_CAROUSEL,IO_101,649.3300,0.759,2147369,2026-05-04 11:41:52.776000-07:00
2025-11-18,PS5 Pro Launch Global,partner_0451,628.45,3157895,26739,LI_101_CAROUSEL,IO_101,641.0200,0.915,2147369,2026-05-04 11:41:52.776000-07:00
