REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,COST_MICROS,SPEND,IMPRESSIONS,CLICKS,AD_GROUP,KEYWORD,QUALITY_SCORE,CONVERSIONS,CONVERSION_VALUE,SEARCH_IMPRESSION_SHARE,LOADED_AT
2025-11-01,PS5 Pro Launch Global,765-432-9002,2213840160,2213.84,3144531,37420,AG_HERO_A_CAROUSEL,gta 6 preorder,8.2,2994,8892.12,0.483,2026-05-04 11:41:47.345000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-9002,1671075000,1671.08,2734375,37669,AG_HERO_A_CAROUSEL,gta 6 preorder,9.2,3014,8951.29,0.417,2026-05-04 11:41:47.345000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-9002,1039780000,1039.78,2734375,25887,AG_HERO_A_CAROUSEL,gta 6 preorder,7.2,2071,6151.53,0.654,2026-05-04 11:41:47.345000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-9002,1925078400,1925.08,2734375,41821,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,3346,9937.93,0.531,2026-05-04 11:41:47.345000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-9002,1800304800,1800.30,2734375,36488,AG_HERO_A_CAROUSEL,gta 6 preorder,9.6,2919,8670.65,0.539,2026-05-04 11:41:47.345000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-9002,1200871630,1200.87,3144531,43933,AG_HERO_A_CAROUSEL,gta 6 preorder,9.5,3515,10439.80,0.805,2026-05-04 11:41:47.345000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-9002,1438312820,1438.31,3144531,41795,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,3344,9931.75,0.513,2026-05-04 11:41:47.345000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-9002,1775053000,1775.05,2734375,40346,AG_HERO_A_CAROUSEL,gta 6 preorder,7.9,3228,9587.42,0.603,2026-05-04 11:41:47.345000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-9002,1079885800,1079.89,2734375,20628,AG_HERO_A_CAROUSEL,gta 6 preorder,7.5,1650,4901.83,0.591,2026-05-04 11:41:47.345000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-9002,1556699200,1556.70,2734375,20199,AG_HERO_A_CAROUSEL,gta 6 preorder,7.6,1616,4799.89,0.763,2026-05-04 11:41:47.345000-07:00
