REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,COST_MICROS,SPEND,IMPRESSIONS,CLICKS,KEYWORD,MATCH_TYPE,QUALITY_SCORE,AVG_POSITION,SEARCH_IMPRESSION_SHARE,LOADED_AT
2025-11-01,PS5 Pro Launch Global,765-432-8102,993592548,993.59,4928571,57171,best ps5 games,EXACT,6.9,2.43,0.686,2026-05-04 11:41:49.301000-07:00
2025-11-02,PS5 Pro Launch Global,765-432-8102,882022032,882.02,4928571,72848,best ps5 games,BROAD,7.4,1.42,0.562,2026-05-04 11:41:49.301000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-8102,969414480,969.41,4285714,46389,best ps5 games,EXACT,9.2,2.27,0.635,2026-05-04 11:41:49.301000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-8102,992332080,992.33,4285714,51031,best ps5 games,PHRASE,8.5,1.79,0.486,2026-05-04 11:41:49.301000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-8102,832672800,832.67,4285714,52687,best ps5 games,PHRASE,7.9,2.56,0.589,2026-05-04 11:41:49.301000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-8102,889966800,889.97,4285714,33737,best ps5 games,BROAD,10.0,3.12,0.763,2026-05-04 11:41:49.301000-07:00
2025-11-07,PS5 Pro Launch Global,765-432-8102,1764960768,1764.96,13714286,121421,best ps5 games,BROAD,6.4,1.47,0.688,2026-05-04 11:41:49.301000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-8102,1128004272,1128.00,4928571,42338,best ps5 games,BROAD,6.4,1.29,0.844,2026-05-04 11:41:49.301000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-8102,974265372,974.27,4928571,51206,best ps5 games,BROAD,8.0,2.96,0.611,2026-05-04 11:41:49.301000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-8102,663846480,663.85,4285714,45737,best ps5 games,BROAD,8.6,2.01,0.601,2026-05-04 11:41:49.301000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-8102,764683920,764.68,4285714,42189,best ps5 games,EXACT,9.7,2.56,0.873,2026-05-04 11:41:49.301000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-8102,951844320,951.84,4285714,52766,best ps5 games,BROAD,9.5,2.48,0.629,2026-05-04 11:41:49.301000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-8102,841839840,841.84,4285714,41842,best ps5 games,PHRASE,7.4,2.02,0.866,2026-05-04 11:41:49.301000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-8102,630997920,631.00,4285714,49152,best ps5 games,EXACT,9.0,1.38,0.899,2026-05-04 11:41:49.301000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-8102,1142060400,1142.06,4928571,42015,best ps5 games,EXACT,9.4,2.06,0.675,2026-05-04 11:41:49.301000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-8102,976022388,976.02,4928571,39034,best ps5 games,PHRASE,8.7,2.73,0.805,2026-05-04 11:41:49.301000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-8102,765447840,765.45,4285714,37745,best ps5 games,BROAD,6.2,1.85,0.769,2026-05-04 11:41:49.301000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-8102,539327520,539.33,4285714,48137,best ps5 games,BROAD,7.4,2.19,0.777,2026-05-04 11:41:49.301000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-8102,561481200,561.48,4285714,43248,best ps5 games,EXACT,7.1,3.19,0.640,2026-05-04 11:41:49.301000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-8102,655443360,655.44,4285714,42120,best ps5 games,EXACT,7.2,2.39,0.792,2026-05-04 11:41:49.301000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-8102,1055966616,1055.97,4928571,61509,best ps5 games,EXACT,7.5,1.77,0.745,2026-05-04 11:41:49.301000-07:00
2025-11-23,PS5 Pro Launch Global,765-432-8102,975143880,975.14,4928571,57262,best ps5 games,PHRASE,9.8,2.62,0.920,2026-05-04 11:41:49.301000-07:00
2025-11-24,PS5 Pro Launch Global,765-432-8102,588218400,588.22,4285714,29026,best ps5 games,PHRASE,9.0,2.90,0.605,2026-05-04 11:41:49.301000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-8102,585926640,585.93,4285714,37053,best ps5 games,EXACT,9.9,1.35,0.868,2026-05-04 11:41:49.301000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-8102,600441120,600.44,4285714,33257,best ps5 games,BROAD,9.8,2.81,0.845,2026-05-04 11:41:49.301000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-8102,609608160,609.61,4285714,49217,best ps5 games,BROAD,7.4,1.94,0.619,2026-05-04 11:41:49.301000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-8102,1782301752,1782.30,9000000,71971,best ps5 games,PHRASE,8.5,2.32,0.632,2026-05-04 11:41:49.301000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-8102,1760002927,1760.00,10350000,96379,best ps5 games,PHRASE,6.7,2.82,0.770,2026-05-04 11:41:49.301000-07:00
