REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,FLIGHT_ID,PLACEMENT,COMPLETED_VIEWS,AVG_FREQUENCY,DAYPART,LOADED_AT
2025-11-01,PS5 Pro Launch Global,HULU_0101,2112.81,1232143,11705,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.34,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-02,PS5 Pro Launch Global,HULU_0101,1932.72,1232143,15156,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.68,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-03,PS5 Pro Launch Global,HULU_0101,2062.58,1071429,16236,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.69,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-04,PS5 Pro Launch Global,HULU_0101,2459.82,1071429,15999,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.41,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-06,PS5 Pro Launch Global,HULU_0101,2045.40,1071429,12137,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.36,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-07,PS5 Pro Launch Global,HULU_0101,7199.18,3428571,35904,FL_101_202511,HOMEPAGE_TAKEOVER,3120000,1.75,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-08,PS5 Pro Launch Global,HULU_0101,1642.81,1232143,16866,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.59,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-09,PS5 Pro Launch Global,HULU_0101,1669.17,1232143,16146,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.46,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-10,PS5 Pro Launch Global,HULU_0101,2301.31,1071429,13224,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.48,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-11,PS5 Pro Launch Global,HULU_0101,2123.70,1071429,10843,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.24,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-12,PS5 Pro Launch Global,HULU_0101,2341.41,1071429,10846,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.37,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-13,PS5 Pro Launch Global,HULU_0101,2427.36,1071429,9492,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.61,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-14,PS5 Pro Launch Global,HULU_0101,2234.47,1071429,11424,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.66,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-15,PS5 Pro Launch Global,HULU_0101,1618.65,1232143,14771,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.73,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-16,PS5 Pro Launch Global,HULU_0101,2558.65,1232143,12036,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.81,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-17,PS5 Pro Launch Global,HULU_0101,2156.16,1071429,10557,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.76,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-18,PS5 Pro Launch Global,HULU_0101,2312.77,1071429,8794,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.19,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-19,PS5 Pro Launch Global,HULU_0101,1881.15,1071429,13023,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.62,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-20,PS5 Pro Launch Global,HULU_0101,1392.24,1071429,14537,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.68,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-21,PS5 Pro Launch Global,HULU_0101,2152.34,1071429,12150,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.33,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-22,PS5 Pro Launch Global,HULU_0101,1908.56,1232143,9124,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.18,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-23,PS5 Pro Launch Global,HULU_0101,2620.15,1232143,11980,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.59,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-24,PS5 Pro Launch Global,HULU_0101,1862.06,1071429,9617,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.26,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-25,PS5 Pro Launch Global,HULU_0101,1564.13,1071429,12813,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.42,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-26,PS5 Pro Launch Global,HULU_0101,2150.43,1071429,9343,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.22,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-27,PS5 Pro Launch Global,HULU_0101,2068.31,1071429,6958,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.22,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-28,PS5 Pro Launch Global,HULU_0101,4900.93,2250000,21344,FL_101_202511,HOMEPAGE_TAKEOVER,2047500,1.54,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-29,PS5 Pro Launch Global,HULU_0101,3841.94,2587500,30922,FL_101_202511,HOMEPAGE_TAKEOVER,2354625,1.32,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-30,PS5 Pro Launch Global,HULU_0101,5926.63,2587500,21263,FL_101_202511,HOMEPAGE_TAKEOVER,2354625,1.80,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-12-01,PS5 Pro Launch Global,HULU_0101,3120.23,2250000,23598,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.70,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-12-02,PS5 Pro Launch Global,HULU_0101,2903.66,2250000,15566,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.76,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-12-03,PS5 Pro Launch Global,HULU_0101,4748.53,2250000,19586,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.64,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-12-04,PS5 Pro Launch Global,HULU_0101,4355.49,2250000,25999,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.45,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-12-05,PS5 Pro Launch Global,HULU_0101,5081.40,2250000,13595,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.45,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-12-06,PS5 Pro Launch Global,HULU_0101,3828.10,2587500,22542,FL_101_202512,HOMEPAGE_TAKEOVER,2354625,1.23,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-12-07,PS5 Pro Launch Global,HULU_0101,5677.58,2587500,21186,FL_101_202512,HOMEPAGE_TAKEOVER,2354625,1.27,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-12-08,PS5 Pro Launch Global,HULU_0101,4596.12,2250000,15206,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.27,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-12-09,PS5 Pro Launch Global,HULU_0101,4339.45,2250000,22081,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.44,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-12-10,PS5 Pro Launch Global,HULU_0101,3344.82,2250000,23994,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.56,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-12-11,PS5 Pro Launch Global,HULU_0101,5049.32,2250000,24327,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.51,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-12-12,PS5 Pro Launch Global,HULU_0101,3549.36,2250000,14969,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.81,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-12-13,PS5 Pro Launch Global,HULU_0101,5373.17,2587500,25256,FL_101_202512,HOMEPAGE_TAKEOVER,2354625,1.73,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-12-14,PS5 Pro Launch Global,HULU_0101,4842.78,2587500,19011,FL_101_202512,HOMEPAGE_TAKEOVER,2354625,1.59,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-12-15,PS5 Pro Launch Global,HULU_0101,3870.21,2250000,12830,FL_101_202512,HOMEPAGE_TAKEOVER,2047500,1.41,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-01,PS5 Pro Launch Global,HULU_0101,2758.52,1232143,11952,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.60,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-02,PS5 Pro Launch Global,HULU_0101,2848.56,1232143,14790,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.52,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-03,PS5 Pro Launch Global,HULU_0101,1512.56,1071429,14549,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.49,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-04,PS5 Pro Launch Global,HULU_0101,1422.80,1071429,16313,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.22,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-06,PS5 Pro Launch Global,HULU_0101,1529.75,1071429,10903,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.19,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-07,PS5 Pro Launch Global,HULU_0101,6105.25,3428571,48960,FL_101_202511,HOMEPAGE_TAKEOVER,3120000,1.43,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-08,PS5 Pro Launch Global,HULU_0101,2187.48,1232143,17563,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.21,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-09,PS5 Pro Launch Global,HULU_0101,1682.34,1232143,10034,FL_101_202511,HOMEPAGE_TAKEOVER,1121250,1.69,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-10,PS5 Pro Launch Global,HULU_0101,1692.08,1071429,13125,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.31,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
2025-11-11,PS5 Pro Launch Global,HULU_0101,1621.42,1071429,10251,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.18,DAYTIME,2026-05-04 11:42:00.058000-07:00
2025-11-12,PS5 Pro Launch Global,HULU_0101,2396.80,1071429,13191,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.34,EARLY_FRINGE,2026-05-04 11:42:00.058000-07:00
2025-11-13,PS5 Pro Launch Global,HULU_0101,1604.23,1071429,11042,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.75,PRIMETIME,2026-05-04 11:42:00.058000-07:00
2025-11-14,PS5 Pro Launch Global,HULU_0101,2104.60,1071429,11904,FL_101_202511,HOMEPAGE_TAKEOVER,975000,1.28,LATE_NIGHT,2026-05-04 11:42:00.058000-07:00
