REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,AD_SET_NAME,AD_NAME,REACH,VIDEO_P100_VIEWS,ACTIONS,CPM_REPORTED,FREQUENCY,LOADED_AT
2025-11-01,PS5 Pro Launch Global,act_0123400003,1276.37,3389474,44402,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2481095,690436,"[{""action_type"":""link_click"",""value"":44402},{""action_type"":""video_view"",""value"":1643895}]",0.3766,1.37,2026-05-04 11:41:44.839000-07:00
2025-11-02,PS5 Pro Launch Global,act_0123400003,1736.91,3389474,52117,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,1928611,540960,"[{""action_type"":""link_click"",""value"":52117},{""action_type"":""video_view"",""value"":1288000}]",0.5124,1.76,2026-05-04 11:41:44.839000-07:00
2025-11-03,PS5 Pro Launch Global,act_0123400003,1132.47,2947368,43793,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2461052,326804,"[{""action_type"":""link_click"",""value"":43793},{""action_type"":""video_view"",""value"":778105}]",0.3842,1.20,2026-05-04 11:41:44.839000-07:00
2025-11-04,PS5 Pro Launch Global,act_0123400003,879.36,2947368,46026,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2242947,654846,"[{""action_type"":""link_click"",""value"":46026},{""action_type"":""video_view"",""value"":1559158}]",0.2984,1.31,2026-05-04 11:41:44.839000-07:00
2025-11-05,PS5 Pro Launch Global,act_0123400003,1237.04,2947368,34807,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2063158,540960,"[{""action_type"":""link_click"",""value"":34807},{""action_type"":""video_view"",""value"":1288000}]",0.4197,1.43,2026-05-04 11:41:44.839000-07:00
2025-11-06,PS5 Pro Launch Global,act_0123400003,1233.48,2947368,34803,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2210526,315663,"[{""action_type"":""link_click"",""value"":34803},{""action_type"":""video_view"",""value"":751579}]",0.4185,1.33,2026-05-04 11:41:44.839000-07:00
2025-11-07,PS5 Pro Launch Global,act_0123400003,3905.29,9431579,96074,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,5602358,1746917,"[{""action_type"":""link_click"",""value"":96074},{""action_type"":""video_view"",""value"":4159326}]",0.4141,1.68,2026-05-04 11:41:44.839000-07:00
2025-11-08,PS5 Pro Launch Global,act_0123400003,1542.86,3389474,32637,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2701411,647729,"[{""action_type"":""link_click"",""value"":32637},{""action_type"":""video_view"",""value"":1542211}]",0.4552,1.25,2026-05-04 11:41:44.839000-07:00
2025-11-09,PS5 Pro Launch Global,act_0123400003,1771.07,3389474,46954,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2759032,706095,"[{""action_type"":""link_click"",""value"":46954},{""action_type"":""video_view"",""value"":1681179}]",0.5225,1.23,2026-05-04 11:41:44.839000-07:00
2025-11-10,PS5 Pro Launch Global,act_0123400003,862.72,2947368,37472,CR-101-CAROUSEL-HERO_A // ASet-HERO_A,CR-101-CAROUSEL-HERO_A,2322526,665987,"[{""action_type"":""link_click"",""value"":37472},{""action_type"":""video_view"",""value"":1585684}]",0.2927,1.27,2026-05-04 11:41:44.839000-07:00
