REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,FLIGHT_ID,PLACEMENT,COMPLETED_VIEWS,AVG_FREQUENCY,DAYPART,LOADED_AT
2025-11-01,PS5 Pro Launch Global,ROKU_0101,1704.40,1150000,17480,RFL_101_202511,CHANNEL_STORE,1081000,1.27,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-02,PS5 Pro Launch Global,ROKU_0101,2409.16,1150000,17454,RFL_101_202511,CHANNEL_STORE,1081000,1.55,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-03,PS5 Pro Launch Global,ROKU_0101,1653.04,1000000,10430,RFL_101_202511,CHANNEL_STORE,940000,1.43,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-04,PS5 Pro Launch Global,ROKU_0101,1691.74,1000000,13957,RFL_101_202511,CHANNEL_STORE,940000,1.55,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-05,PS5 Pro Launch Global,ROKU_0101,1794.96,1000000,13262,RFL_101_202511,CHANNEL_STORE,940000,1.57,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-06,PS5 Pro Launch Global,ROKU_0101,1553.05,1000000,12480,RFL_101_202511,CHANNEL_STORE,940000,1.33,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-07,PS5 Pro Launch Global,ROKU_0101,5656.13,3200000,32292,RFL_101_202511,CHANNEL_STORE,3008000,1.25,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-09,PS5 Pro Launch Global,ROKU_0101,1776.73,1150000,10764,RFL_101_202511,CHANNEL_STORE,1081000,1.36,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-10,PS5 Pro Launch Global,ROKU_0101,1867.53,1000000,7795,RFL_101_202511,CHANNEL_STORE,940000,1.61,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-11,PS5 Pro Launch Global,ROKU_0101,1415.97,1000000,9108,RFL_101_202511,CHANNEL_STORE,940000,1.82,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-12,PS5 Pro Launch Global,ROKU_0101,1617.56,1000000,9667,RFL_101_202511,CHANNEL_STORE,940000,1.35,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-13,PS5 Pro Launch Global,ROKU_0101,1711.10,1000000,9582,RFL_101_202511,CHANNEL_STORE,940000,1.34,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-14,PS5 Pro Launch Global,ROKU_0101,2062.67,1000000,9587,RFL_101_202511,CHANNEL_STORE,940000,1.36,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-15,PS5 Pro Launch Global,ROKU_0101,2099.44,1150000,9293,RFL_101_202511,CHANNEL_STORE,1081000,1.19,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-16,PS5 Pro Launch Global,ROKU_0101,1739.64,1150000,12954,RFL_101_202511,CHANNEL_STORE,1081000,1.44,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-17,PS5 Pro Launch Global,ROKU_0101,1749.80,1000000,10638,RFL_101_202511,CHANNEL_STORE,940000,1.39,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-18,PS5 Pro Launch Global,ROKU_0101,2046.54,1000000,6998,RFL_101_202511,CHANNEL_STORE,940000,1.37,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-19,PS5 Pro Launch Global,ROKU_0101,1441.77,1000000,9330,RFL_101_202511,CHANNEL_STORE,940000,1.37,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-20,PS5 Pro Launch Global,ROKU_0101,1854.63,1000000,9498,RFL_101_202511,CHANNEL_STORE,940000,1.66,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-21,PS5 Pro Launch Global,ROKU_0101,1156.32,1000000,11256,RFL_101_202511,CHANNEL_STORE,940000,1.30,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-22,PS5 Pro Launch Global,ROKU_0101,1869.47,1150000,13300,RFL_101_202511,CHANNEL_STORE,1081000,1.57,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-24,PS5 Pro Launch Global,ROKU_0101,1957.84,1000000,9139,RFL_101_202511,CHANNEL_STORE,940000,1.40,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-25,PS5 Pro Launch Global,ROKU_0101,2036.87,1000000,11797,RFL_101_202511,CHANNEL_STORE,940000,1.77,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-26,PS5 Pro Launch Global,ROKU_0101,1757.86,1000000,8880,RFL_101_202511,CHANNEL_STORE,940000,1.27,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-11-27,PS5 Pro Launch Global,ROKU_0101,1306.30,1000000,7682,RFL_101_202511,CHANNEL_STORE,940000,1.34,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-11-28,PS5 Pro Launch Global,ROKU_0101,3244.47,2100000,21897,RFL_101_202511,CHANNEL_STORE,1974000,1.57,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-11-29,PS5 Pro Launch Global,ROKU_0101,4350.40,2415000,18553,RFL_101_202511,CHANNEL_STORE,2270100,1.47,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-11-30,PS5 Pro Launch Global,ROKU_0101,3224.83,2415000,29305,RFL_101_202511,CHANNEL_STORE,2270100,1.41,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
2025-12-01,PS5 Pro Launch Global,ROKU_0101,4280.80,2100000,21706,RFL_101_202512,CHANNEL_STORE,1974000,1.69,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-12-02,PS5 Pro Launch Global,ROKU_0101,3620.40,2100000,25267,RFL_101_202512,CHANNEL_STORE,1974000,1.21,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-12-03,PS5 Pro Launch Global,ROKU_0101,3349.46,2100000,21405,RFL_101_202512,CHANNEL_STORE,1974000,1.58,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-12-05,PS5 Pro Launch Global,ROKU_0101,3281.72,2100000,20486,RFL_101_202512,CHANNEL_STORE,1974000,1.45,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-12-06,PS5 Pro Launch Global,ROKU_0101,4233.56,2415000,18779,RFL_101_202512,CHANNEL_STORE,2270100,1.41,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-12-07,PS5 Pro Launch Global,ROKU_0101,4545.14,2415000,14272,RFL_101_202512,CHANNEL_STORE,2270100,1.33,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-12-09,PS5 Pro Launch Global,ROKU_0101,2502.78,2100000,12424,RFL_101_202512,CHANNEL_STORE,1974000,1.76,DAYTIME,2026-05-04 11:41:39.106000-07:00
2025-12-10,PS5 Pro Launch Global,ROKU_0101,3075.13,2100000,20661,RFL_101_202512,CHANNEL_STORE,1974000,1.24,EARLY_FRINGE,2026-05-04 11:41:39.106000-07:00
2025-12-11,PS5 Pro Launch Global,ROKU_0101,3000.63,2100000,12281,RFL_101_202512,CHANNEL_STORE,1974000,1.76,PRIMETIME,2026-05-04 11:41:39.106000-07:00
2025-12-12,PS5 Pro Launch Global,ROKU_0101,3268.18,2100000,12136,RFL_101_202512,CHANNEL_STORE,1974000,1.20,LATE_NIGHT,2026-05-04 11:41:39.106000-07:00
