REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,SWIPE_UPS,STORY_OPENS,SCREEN_TIME_MS,LOADED_AT
2025-11-01,PS5 Pro Launch Global,snap_ad_acct_0101,345.55,1254545,12671,9123,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-02,PS5 Pro Launch Global,snap_ad_acct_0101,328.85,1254545,10952,7885,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-03,PS5 Pro Launch Global,snap_ad_acct_0101,213.90,1090909,9983,7188,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-04,PS5 Pro Launch Global,snap_ad_acct_0101,267.63,1090909,10434,7512,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-05,PS5 Pro Launch Global,snap_ad_acct_0101,310.15,1090909,15946,11481,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-06,PS5 Pro Launch Global,snap_ad_acct_0101,215.43,1090909,14662,10557,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-07,PS5 Pro Launch Global,snap_ad_acct_0101,712.99,3490909,44865,32303,1675636,13265454200,2026-05-04 11:41:56.965000-07:00
2025-11-08,PS5 Pro Launch Global,snap_ad_acct_0101,272.92,1254545,17054,12279,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-09,PS5 Pro Launch Global,snap_ad_acct_0101,240.71,1254545,9511,6848,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-10,PS5 Pro Launch Global,snap_ad_acct_0101,213.64,1090909,9921,7143,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-11,PS5 Pro Launch Global,snap_ad_acct_0101,213.64,1090909,11341,8166,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-12,PS5 Pro Launch Global,snap_ad_acct_0101,235.54,1090909,15819,11390,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-13,PS5 Pro Launch Global,snap_ad_acct_0101,210.33,1090909,10947,7882,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-14,PS5 Pro Launch Global,snap_ad_acct_0101,182.58,1090909,9188,6615,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-15,PS5 Pro Launch Global,snap_ad_acct_0101,214.06,1254545,9804,7059,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-16,PS5 Pro Launch Global,snap_ad_acct_0101,350.23,1254545,12034,8664,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-17,PS5 Pro Launch Global,snap_ad_acct_0101,294.11,1090909,12271,8835,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-18,PS5 Pro Launch Global,snap_ad_acct_0101,275.52,1090909,11688,8415,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-19,PS5 Pro Launch Global,snap_ad_acct_0101,269.15,1090909,12326,8875,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-20,PS5 Pro Launch Global,snap_ad_acct_0101,321.86,1090909,10361,7460,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-21,PS5 Pro Launch Global,snap_ad_acct_0101,316.52,1090909,11363,8181,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-22,PS5 Pro Launch Global,snap_ad_acct_0101,350.82,1254545,12421,8943,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-24,PS5 Pro Launch Global,snap_ad_acct_0101,244.20,1090909,7121,5127,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-26,PS5 Pro Launch Global,snap_ad_acct_0101,258.20,1090909,12305,8860,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-27,PS5 Pro Launch Global,snap_ad_acct_0101,286.72,1090909,7776,5599,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-28,PS5 Pro Launch Global,snap_ad_acct_0101,449.72,2290909,26043,18751,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-11-29,PS5 Pro Launch Global,snap_ad_acct_0101,549.77,2634545,19217,13836,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-11-30,PS5 Pro Launch Global,snap_ad_acct_0101,433.54,2634545,22257,16025,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-01,PS5 Pro Launch Global,snap_ad_acct_0101,619.23,2290909,20719,14918,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-02,PS5 Pro Launch Global,snap_ad_acct_0101,486.62,2290909,23257,16745,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-03,PS5 Pro Launch Global,snap_ad_acct_0101,576.45,2290909,26419,19022,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-04,PS5 Pro Launch Global,snap_ad_acct_0101,662.55,2290909,19727,14203,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-05,PS5 Pro Launch Global,snap_ad_acct_0101,528.86,2290909,13843,9967,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-06,PS5 Pro Launch Global,snap_ad_acct_0101,715.19,2634545,24470,17618,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-07,PS5 Pro Launch Global,snap_ad_acct_0101,544.24,2634545,15757,11345,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-08,PS5 Pro Launch Global,snap_ad_acct_0101,647.57,2290909,22902,16489,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-09,PS5 Pro Launch Global,snap_ad_acct_0101,593.57,2290909,16901,12169,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-10,PS5 Pro Launch Global,snap_ad_acct_0101,658.27,2290909,19229,13845,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-11,PS5 Pro Launch Global,snap_ad_acct_0101,569.50,2290909,13397,9646,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-12,PS5 Pro Launch Global,snap_ad_acct_0101,674.85,2290909,24324,17513,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-13,PS5 Pro Launch Global,snap_ad_acct_0101,472.90,2634545,20292,14610,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-14,PS5 Pro Launch Global,snap_ad_acct_0101,699.82,2634545,16764,12070,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-15,PS5 Pro Launch Global,snap_ad_acct_0101,498.92,2290909,14994,10796,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-11-01,PS5 Pro Launch Global,snap_ad_acct_0101,268.82,1254545,18818,13549,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-02,PS5 Pro Launch Global,snap_ad_acct_0101,378.93,1254545,12570,9050,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-03,PS5 Pro Launch Global,snap_ad_acct_0101,186.91,1090909,10520,7574,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-04,PS5 Pro Launch Global,snap_ad_acct_0101,198.11,1090909,12777,9199,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-05,PS5 Pro Launch Global,snap_ad_acct_0101,255.66,1090909,15101,10873,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-06,PS5 Pro Launch Global,snap_ad_acct_0101,189.96,1090909,15500,11160,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-07,PS5 Pro Launch Global,snap_ad_acct_0101,884.11,3490909,34895,25124,1675636,13265454200,2026-05-04 11:41:56.965000-07:00
2025-11-08,PS5 Pro Launch Global,snap_ad_acct_0101,268.53,1254545,12553,9038,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-09,PS5 Pro Launch Global,snap_ad_acct_0101,302.79,1254545,10333,7440,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-10,PS5 Pro Launch Global,snap_ad_acct_0101,286.22,1090909,15995,11516,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-11,PS5 Pro Launch Global,snap_ad_acct_0101,291.82,1090909,15857,11417,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-12,PS5 Pro Launch Global,snap_ad_acct_0101,244.20,1090909,13531,9742,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-13,PS5 Pro Launch Global,snap_ad_acct_0101,225.10,1090909,12327,8875,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-14,PS5 Pro Launch Global,snap_ad_acct_0101,271.96,1090909,9188,6615,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-15,PS5 Pro Launch Global,snap_ad_acct_0101,351.11,1254545,15262,10989,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-16,PS5 Pro Launch Global,snap_ad_acct_0101,339.69,1254545,17333,12480,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-17,PS5 Pro Launch Global,snap_ad_acct_0101,244.96,1090909,10083,7260,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-18,PS5 Pro Launch Global,snap_ad_acct_0101,327.98,1090909,8954,6447,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-19,PS5 Pro Launch Global,snap_ad_acct_0101,223.32,1090909,12233,8808,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-20,PS5 Pro Launch Global,snap_ad_acct_0101,312.70,1090909,9251,6661,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-21,PS5 Pro Launch Global,snap_ad_acct_0101,331.03,1090909,13471,9699,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-22,PS5 Pro Launch Global,snap_ad_acct_0101,298.99,1254545,12421,8943,602182,4767271000,2026-05-04 11:41:56.965000-07:00
2025-11-24,PS5 Pro Launch Global,snap_ad_acct_0101,326.96,1090909,9970,7178,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-26,PS5 Pro Launch Global,snap_ad_acct_0101,263.81,1090909,12305,8860,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-27,PS5 Pro Launch Global,snap_ad_acct_0101,306.33,1090909,9072,6532,523636,4145454200,2026-05-04 11:41:56.965000-07:00
2025-11-28,PS5 Pro Launch Global,snap_ad_acct_0101,549.18,2290909,28019,20174,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-11-29,PS5 Pro Launch Global,snap_ad_acct_0101,790.83,2634545,31484,22668,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-11-30,PS5 Pro Launch Global,snap_ad_acct_0101,472.90,2634545,28327,20395,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-01,PS5 Pro Launch Global,snap_ad_acct_0101,612.28,2290909,26290,18929,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-02,PS5 Pro Launch Global,snap_ad_acct_0101,433.14,2290909,14643,10543,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-03,PS5 Pro Launch Global,snap_ad_acct_0101,472.71,2290909,19601,14113,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-04,PS5 Pro Launch Global,snap_ad_acct_0101,450.25,2290909,17367,12504,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-05,PS5 Pro Launch Global,snap_ad_acct_0101,502.12,2290909,21514,15490,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-06,PS5 Pro Launch Global,snap_ad_acct_0101,449.53,2634545,19348,13931,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-07,PS5 Pro Launch Global,snap_ad_acct_0101,638.94,2634545,15944,11480,1264582,10011271000,2026-05-04 11:41:56.965000-07:00
2025-12-08,PS5 Pro Launch Global,snap_ad_acct_0101,419.77,2290909,21289,15328,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-09,PS5 Pro Launch Global,snap_ad_acct_0101,497.31,2290909,21366,15384,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-10,PS5 Pro Launch Global,snap_ad_acct_0101,434.21,2290909,24903,17930,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-11,PS5 Pro Launch Global,snap_ad_acct_0101,597.84,2290909,19784,14244,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
2025-12-12,PS5 Pro Launch Global,snap_ad_acct_0101,411.75,2290909,14779,10641,1099636,8705454200,2026-05-04 11:41:56.965000-07:00
