REPORT_DATE,CAMPAIGN_NAME,ADVERTISER_ID,SPEND,IMPRESSIONS,CLICKS,PLACEMENT,VIDEO_PLAY_ACTIONS,PROFILE_VISITS,COMPLETE_PAYMENT,LOADED_AT
2025-11-01,PS5 Pro Launch Global,adv_00720002,1082.32,3513889,29868,TT_SPARK,875099,5376,448,2026-05-04 11:41:51.303000-07:00
2025-11-02,PS5 Pro Launch Global,adv_00720002,1326.06,3513889,36252,TT_SPARK,1394592,6525,544,2026-05-04 11:41:51.303000-07:00
2025-11-03,PS5 Pro Launch Global,adv_00720002,719.87,3055556,46002,TT_SPARK,997578,8280,690,2026-05-04 11:41:51.303000-07:00
2025-11-04,PS5 Pro Launch Global,adv_00720002,959.82,3055556,36383,TT_SPARK,1357889,6549,546,2026-05-04 11:41:51.303000-07:00
2025-11-05,PS5 Pro Launch Global,adv_00720002,1082.14,3055556,40522,TT_SPARK,884645,7294,608,2026-05-04 11:41:51.303000-07:00
2025-11-06,PS5 Pro Launch Global,adv_00720002,1182.04,3055556,32853,TT_SPARK,696422,5914,493,2026-05-04 11:41:51.303000-07:00
2025-11-07,PS5 Pro Launch Global,adv_00720002,3149.12,9777778,100531,TT_SPARK,2848072,18096,1508,2026-05-04 11:41:51.303000-07:00
2025-11-08,PS5 Pro Launch Global,adv_00720002,1062.99,3513889,37152,TT_SPARK,1629602,6687,557,2026-05-04 11:41:51.303000-07:00
2025-11-09,PS5 Pro Launch Global,adv_00720002,1275.59,3513889,34206,TT_SPARK,1243073,6157,513,2026-05-04 11:41:51.303000-07:00
2025-11-10,PS5 Pro Launch Global,adv_00720002,1209.12,3055556,36012,TT_SPARK,1422422,6482,540,2026-05-04 11:41:51.303000-07:00
2025-11-11,PS5 Pro Launch Global,adv_00720002,1111.08,3055556,39918,TT_SPARK,779778,7185,599,2026-05-04 11:41:51.303000-07:00
2025-11-12,PS5 Pro Launch Global,adv_00720002,747.88,3055556,32047,TT_SPARK,994889,5768,481,2026-05-04 11:41:51.303000-07:00
2025-11-13,PS5 Pro Launch Global,adv_00720002,918.74,3055556,26517,TT_SPARK,1183112,4773,398,2026-05-04 11:41:51.303000-07:00
2025-11-14,PS5 Pro Launch Global,adv_00720002,823.51,3055556,30663,TT_SPARK,1045978,5519,460,2026-05-04 11:41:51.303000-07:00
2025-11-15,PS5 Pro Launch Global,adv_00720002,1320.69,3513889,36196,TT_SPARK,1329655,6515,543,2026-05-04 11:41:51.303000-07:00
2025-11-16,PS5 Pro Launch Global,adv_00720002,1155.34,3513889,34633,TT_SPARK,1317287,6234,519,2026-05-04 11:41:51.303000-07:00
2025-11-17,PS5 Pro Launch Global,adv_00720002,1013.98,3055556,32240,TT_SPARK,860445,5803,484,2026-05-04 11:41:51.303000-07:00
