REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,STREAMER_HANDLE,SPONSORSHIP_TYPE,AVG_CONCURRENT_VIEWERS,CHAT_MENTIONS,SPONSORSHIP_FEE_K_USD,LOADED_AT
2025-11-01,PS5 Pro Launch Global,twitch_sponsor_0101,699.88,932432,8392,streamer_partner_24,BRANDED_SEGMENT,699324,5035,0.70,2026-05-04 11:41:42.118000-07:00
2025-11-02,PS5 Pro Launch Global,twitch_sponsor_0101,931.22,932432,10730,streamer_partner_14,BRANDED_SEGMENT,699324,6438,0.93,2026-05-04 11:41:42.118000-07:00
2025-11-03,PS5 Pro Launch Global,twitch_sponsor_0101,818.03,810811,8457,streamer_partner_7,BRANDED_SEGMENT,608108,5074,0.82,2026-05-04 11:41:42.118000-07:00
2025-11-04,PS5 Pro Launch Global,twitch_sponsor_0101,583.13,810811,9338,streamer_partner_7,BRANDED_SEGMENT,608108,5603,0.58,2026-05-04 11:41:42.118000-07:00
2025-11-05,PS5 Pro Launch Global,twitch_sponsor_0101,555.12,810811,8947,streamer_partner_20,BRANDED_SEGMENT,608108,5368,0.56,2026-05-04 11:41:42.118000-07:00
2025-11-06,PS5 Pro Launch Global,twitch_sponsor_0101,765.83,810811,10352,streamer_partner_11,BRANDED_SEGMENT,608108,6211,0.77,2026-05-04 11:41:42.118000-07:00
2025-11-07,PS5 Pro Launch Global,twitch_sponsor_0101,1784.52,2594595,29888,streamer_partner_9,BRANDED_SEGMENT,1945946,17933,1.78,2026-05-04 11:41:42.118000-07:00
2025-11-08,PS5 Pro Launch Global,twitch_sponsor_0101,653.76,932432,7834,streamer_partner_20,BRANDED_SEGMENT,699324,4700,0.65,2026-05-04 11:41:42.118000-07:00
2025-11-09,PS5 Pro Launch Global,twitch_sponsor_0101,538.82,932432,11346,streamer_partner_14,BRANDED_SEGMENT,699324,6808,0.54,2026-05-04 11:41:42.118000-07:00
2025-11-10,PS5 Pro Launch Global,twitch_sponsor_0101,599.04,810811,6320,streamer_partner_2,BRANDED_SEGMENT,608108,3792,0.60,2026-05-04 11:41:42.118000-07:00
2025-11-11,PS5 Pro Launch Global,twitch_sponsor_0101,547.48,810811,11711,streamer_partner_12,BRANDED_SEGMENT,608108,7027,0.55,2026-05-04 11:41:42.118000-07:00
