REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,ENGAGEMENT_RATE,RETWEETS,LIKES_ATTRIBUTED,LOADED_AT
2025-11-01,PS5 Pro Launch Global,18a0101,415.10,1238462,11765,0.950,2118,18824,2026-05-04 11:41:58.198000-07:00
2025-11-02,PS5 Pro Launch Global,18a0101,382.64,1238462,12777,1.032,2300,20443,2026-05-04 11:41:58.198000-07:00
2025-11-03,PS5 Pro Launch Global,18a0101,215.09,1076923,9431,0.876,1698,15090,2026-05-04 11:41:58.198000-07:00
2025-11-04,PS5 Pro Launch Global,18a0101,328.27,1076923,9144,0.849,1646,14630,2026-05-04 11:41:58.198000-07:00
2025-11-05,PS5 Pro Launch Global,18a0101,295.59,1076923,10842,1.007,1952,17347,2026-05-04 11:41:58.198000-07:00
2025-11-06,PS5 Pro Launch Global,18a0101,333.03,1076923,12199,1.133,2196,19518,2026-05-04 11:41:58.198000-07:00
2025-11-07,PS5 Pro Launch Global,18a0101,757.67,3446154,31495,0.914,5669,50392,2026-05-04 11:41:58.198000-07:00
2025-11-08,PS5 Pro Launch Global,18a0101,283.90,1238462,10990,0.887,1978,17584,2026-05-04 11:41:58.198000-07:00
2025-11-09,PS5 Pro Launch Global,18a0101,298.25,1238462,18547,1.498,3338,29675,2026-05-04 11:41:58.198000-07:00
2025-11-10,PS5 Pro Launch Global,18a0101,231.72,1076923,8395,0.780,1511,13432,2026-05-04 11:41:58.198000-07:00
2025-11-11,PS5 Pro Launch Global,18a0101,280.15,1076923,8124,0.754,1462,12998,2026-05-04 11:41:58.198000-07:00
2025-11-12,PS5 Pro Launch Global,18a0101,283.12,1076923,14339,1.332,2581,22942,2026-05-04 11:41:58.198000-07:00
2025-11-13,PS5 Pro Launch Global,18a0101,319.66,1076923,11001,1.022,1980,17602,2026-05-04 11:41:58.198000-07:00
2025-11-14,PS5 Pro Launch Global,18a0101,229.35,1076923,11772,1.093,2119,18835,2026-05-04 11:41:58.198000-07:00
2025-11-15,PS5 Pro Launch Global,18a0101,317.39,1238462,12537,1.012,2257,20059,2026-05-04 11:41:58.198000-07:00
2025-11-16,PS5 Pro Launch Global,18a0101,258.62,1238462,16348,1.320,2943,26157,2026-05-04 11:41:58.198000-07:00
2025-11-17,PS5 Pro Launch Global,18a0101,286.68,1076923,7607,0.706,1369,12171,2026-05-04 11:41:58.198000-07:00
2025-11-18,PS5 Pro Launch Global,18a0101,209.74,1076923,13771,1.279,2479,22034,2026-05-04 11:41:58.198000-07:00
2025-11-19,PS5 Pro Launch Global,18a0101,335.40,1076923,10601,0.984,1908,16962,2026-05-04 11:41:58.198000-07:00
2025-11-20,PS5 Pro Launch Global,18a0101,385.02,1076923,8767,0.814,1578,14027,2026-05-04 11:41:58.198000-07:00
2025-11-21,PS5 Pro Launch Global,18a0101,296.19,1076923,13569,1.260,2442,21710,2026-05-04 11:41:58.198000-07:00
2025-11-22,PS5 Pro Launch Global,18a0101,402.11,1238462,13086,1.057,2355,20938,2026-05-04 11:41:58.198000-07:00
2025-11-23,PS5 Pro Launch Global,18a0101,352.57,1238462,12960,1.047,2333,20736,2026-05-04 11:41:58.198000-07:00
2025-11-24,PS5 Pro Launch Global,18a0101,292.03,1076923,10721,0.996,1930,17154,2026-05-04 11:41:58.198000-07:00
2025-11-25,PS5 Pro Launch Global,18a0101,312.23,1076923,10877,1.010,1958,17403,2026-05-04 11:41:58.198000-07:00
2025-11-26,PS5 Pro Launch Global,18a0101,212.41,1076923,10080,0.936,1814,16128,2026-05-04 11:41:58.198000-07:00
2025-11-27,PS5 Pro Launch Global,18a0101,360.66,1076923,9382,0.871,1689,15011,2026-05-04 11:41:58.198000-07:00
2025-11-28,PS5 Pro Launch Global,18a0101,623.87,2261538,22872,1.011,4117,36595,2026-05-04 11:41:58.198000-07:00
2025-11-29,PS5 Pro Launch Global,18a0101,908.29,2600769,24622,0.947,4432,39395,2026-05-04 11:41:58.198000-07:00
2025-11-30,PS5 Pro Launch Global,18a0101,622.75,2600769,23170,0.891,4171,37072,2026-05-04 11:41:58.198000-07:00
2025-12-01,PS5 Pro Launch Global,18a0101,553.37,2261538,20625,0.912,3713,33000,2026-05-04 11:41:58.198000-07:00
2025-12-02,PS5 Pro Launch Global,18a0101,535.90,2261538,14626,0.647,2633,23402,2026-05-04 11:41:58.198000-07:00
2025-12-03,PS5 Pro Launch Global,18a0101,708.09,2261538,16658,0.737,2998,26653,2026-05-04 11:41:58.198000-07:00
2025-12-04,PS5 Pro Launch Global,18a0101,744.27,2261538,24468,1.082,4404,39149,2026-05-04 11:41:58.198000-07:00
2025-12-05,PS5 Pro Launch Global,18a0101,653.19,2261538,20745,0.917,3734,33192,2026-05-04 11:41:58.198000-07:00
2025-12-06,PS5 Pro Launch Global,18a0101,700.23,2600769,26778,1.030,4820,42845,2026-05-04 11:41:58.198000-07:00
2025-12-07,PS5 Pro Launch Global,18a0101,566.07,2600769,23888,0.919,4300,38221,2026-05-04 11:41:58.198000-07:00
2025-12-08,PS5 Pro Launch Global,18a0101,492.86,2261538,18150,0.803,3267,29040,2026-05-04 11:41:58.198000-07:00
2025-12-09,PS5 Pro Launch Global,18a0101,701.23,2261538,22509,0.995,4052,36014,2026-05-04 11:41:58.198000-07:00
2025-12-10,PS5 Pro Launch Global,18a0101,774.84,2261538,20850,0.922,3753,33360,2026-05-04 11:41:58.198000-07:00
2025-12-11,PS5 Pro Launch Global,18a0101,647.57,2261538,15994,0.707,2879,25590,2026-05-04 11:41:58.198000-07:00
2025-12-12,PS5 Pro Launch Global,18a0101,782.33,2261538,13222,0.585,2380,21155,2026-05-04 11:41:58.198000-07:00
2025-12-13,PS5 Pro Launch Global,18a0101,741.84,2600769,26940,1.036,4849,43104,2026-05-04 11:41:58.198000-07:00
2025-12-14,PS5 Pro Launch Global,18a0101,622.03,2600769,19791,0.761,3562,31666,2026-05-04 11:41:58.198000-07:00
2025-12-15,PS5 Pro Launch Global,18a0101,468.52,2261538,15974,0.706,2875,25558,2026-05-04 11:41:58.198000-07:00
2025-11-01,PS5 Pro Launch Global,18a0101,300.99,1238462,16100,1.300,2898,25760,2026-05-04 11:41:58.198000-07:00
2025-11-02,PS5 Pro Launch Global,18a0101,357.70,1238462,13760,1.111,2477,22016,2026-05-04 11:41:58.198000-07:00
2025-11-03,PS5 Pro Launch Global,18a0101,376.70,1076923,14306,1.328,2575,22890,2026-05-04 11:41:58.198000-07:00
2025-11-04,PS5 Pro Launch Global,18a0101,357.39,1076923,10511,0.976,1892,16818,2026-05-04 11:41:58.198000-07:00
2025-11-05,PS5 Pro Launch Global,18a0101,309.56,1076923,14177,1.316,2552,22683,2026-05-04 11:41:58.198000-07:00
2025-11-06,PS5 Pro Launch Global,18a0101,327.98,1076923,9305,0.864,1675,14888,2026-05-04 11:41:58.198000-07:00
2025-11-07,PS5 Pro Launch Global,18a0101,1051.43,3446154,48227,1.399,8681,77163,2026-05-04 11:41:58.198000-07:00
2025-11-08,PS5 Pro Launch Global,18a0101,328.66,1238462,14497,1.171,2609,23195,2026-05-04 11:41:58.198000-07:00
2025-11-09,PS5 Pro Launch Global,18a0101,408.60,1238462,9853,0.796,1774,15765,2026-05-04 11:41:58.198000-07:00
2025-11-10,PS5 Pro Launch Global,18a0101,282.52,1076923,14991,1.392,2698,23986,2026-05-04 11:41:58.198000-07:00
2025-11-11,PS5 Pro Launch Global,18a0101,216.27,1076923,14762,1.371,2657,23619,2026-05-04 11:41:58.198000-07:00
2025-11-12,PS5 Pro Launch Global,18a0101,253.11,1076923,15616,1.450,2811,24986,2026-05-04 11:41:58.198000-07:00
2025-11-13,PS5 Pro Launch Global,18a0101,278.66,1076923,12364,1.148,2226,19782,2026-05-04 11:41:58.198000-07:00
2025-11-14,PS5 Pro Launch Global,18a0101,366.00,1076923,11290,1.048,2032,18064,2026-05-04 11:41:58.198000-07:00
2025-11-15,PS5 Pro Launch Global,18a0101,440.72,1238462,14627,1.181,2633,23403,2026-05-04 11:41:58.198000-07:00
2025-11-16,PS5 Pro Launch Global,18a0101,308.84,1238462,9373,0.757,1687,14997,2026-05-04 11:41:58.198000-07:00
