COMMENT_ID,GAME_ID,VIDEO_ID,VIDEO_TITLE,DATE,COMMENT,USERNAME,SENTIMENT_SCORE,LIKE_COUNT,CAMPAIGN_ID
17919,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 15:33:00-08:00,"I swear, every time I think about upgrading to a PS5, Sony does something like this and I'm like ""nah, I'm good with my Xbox"" 😂",@user_dfeff373c5,-0.46,2,114
17920,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 16:40:00-08:00,"This trailer is a masterclass in game marketing, the ""store"" UI is so slick and responsive, can't wait to play Astro Bot on my PS5 🚀",@user_1c99948631,0.73,9,114
17921,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 17:47:00-08:00,"I'm not mad at the upgrade options, but $10 a month is a bit steep for me, might have to stick with the basic plan 🤑",@user_718ef838cd,-0.14,4,114
17922,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 18:54:00-08:00,"I was hyped for Ghost of Yotei Sustain but the trailer had some pretty noticeable frame drops and glitches, hope they iron those out before release 🤔",@user_b7929bc455,0.00,3,114
17923,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 19:01:00-08:00,"I'm hyped for the new games, but can we get a better store layout already? It's still a mess to navigate",@user_1fe0e531f3,0.04,2,114
17924,30,ps_00306d01,Resident Evil 9 - Official Trailer,2026-02-25 20:08:00-08:00,"I don't get why they're trying to make us pay for multiplayer, it's not like it's some super premium service or anything, it's just online play",@user_acda030f5a,-0.45,3,114
17925,2,ps_0002d906,Astro Bot - Official Trailer,2026-02-26 21:15:00-08:00,"I don't get why they made it so hard to find the free PS Plus games, it's like they don't want me to claim my free stuff 🤑",@user_834fd430f1,-0.52,5,104
17926,2,ps_0002d906,Astro Bot - Official Trailer,2026-02-26 22:22:00-08:00,"This is the kind of move that's gonna make Xbox wish they had a service like PS Plus, Sony is killing it 💀",@user_3841edfb8c,0.63,18,104
17927,2,ps_0002d906,Astro Bot - Official Trailer,2026-02-26 23:29:00-08:00,"I'm low-key salty that I gotta wait longer to play GTA VI on my Xbox, but I guess that's what I get for not being a PS5 fanboy 😒",@user_4ba10bf823,-0.14,6,104
17928,2,ps_0002d906,Astro Bot - Official Trailer,2026-02-26 00:36:00-08:00,"I've been waiting for this game for ages and I'm so hyped, but I really hope they fix the glitch where Spidey gets stuck in walls",@user_c52be2e097,0.67,31,104
17929,2,ps_0002d906,Astro Bot - Official Trailer,2026-02-26 01:43:00-08:00,"I don't get why they're trying to make us pay for multiplayer, it's not like it's some super premium service or anything, it's just online play",@user_7a43b1303f,-0.79,5,104
